"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"VP","PT",168,NA,2.8809,NA,0.1665,NA,124.5851,NA,7.2005,NA,17.3024,NA,0.5996,NA,NA,1377286,NA,8271706,NA,478068,NA,66394,NA,13794462,NA,2881885,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"YR","PT",16,NA,0.7891,NA,0.0531,NA,643.0444,NA,43.2732,NA,14.8601,NA,0.9548,NA,NA,1714596,NA,32290473,NA,2172963,NA,50215,NA,33820460,NA,1236978,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"LR","DO",15,NA,0.9909,NA,0.1946,NA,451.548,NA,88.6621,NA,5.0929,NA,2.2618,NA,NA,4396799,NA,22598623,NA,4437270,NA,50047,NA,9991369,NA,470004,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3482,"HR","DO",68,NA,0.5924,NA,0.1309,NA,490.4741,NA,108.4073,NA,4.5244,NA,0.9349,NA,NA,19945220,NA,152327532,NA,33668265,NA,310572,NA,162927528,NA,6801301,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3482,"RB","DO",26,NA,0.6647,NA,0.1596,NA,223.2438,NA,53.5936,NA,4.1655,NA,0.6618,NA,NA,3588146,NA,22487353,NA,5398482,NA,100730,NA,33978651,NA,1564354,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3482,"LR","DO",203,NA,0.6317,NA,0.0614,NA,573.5441,NA,55.704,NA,10.2963,NA,1.3599,NA,NA,26593581,NA,433455380,NA,42098255,NA,755749,NA,318737668,NA,15536688,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3482,"MB","DO",1784,NA,0.6207,NA,0.113,NA,200.9214,NA,36.5648,NA,5.4949,NA,1.3782,NA,NA,131511508,NA,1164242312,NA,211875282,NA,5794516,NA,844757744,NA,59796984,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3482,"MB","PT",134,NA,0.2867,NA,0.0549,NA,117.7067,NA,22.5361,NA,5.223,NA,1.1515,NA,NA,2954503,NA,53815861,NA,10303587,NA,457203,NA,46736330,NA,5361670,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3482,"VP","PT",1267,NA,5.9049,NA,0.9994,NA,25.6242,NA,4.3366,NA,5.9087,NA,0.13,NA,NA,15135356,NA,15145114,NA,2563168,NA,591048,NA,116497421,NA,24415911,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"DR","PT",327,NA,1.5068,NA,0.0123,NA,134.3295,NA,1.0921,NA,122.996,NA,12.3052,NA,NA,686170,NA,56011258,NA,455391,NA,416969,NA,4551838,NA,3913186,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","PT",29,NA,1.5122,NA,0.0584,NA,140.4985,NA,5.4261,NA,25.8933,NA,6.7002,NA,NA,592673,NA,10148485,NA,391935,NA,72232,NA,1514647,NA,779440,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"FB","DO",2,NA,3.6356,NA,0.0822,NA,2440.3063,NA,55.1539,NA,44.2454,NA,7.2547,NA,NA,534182,NA,6500976,NA,146930,NA,2664,NA,896100,NA,35948,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"VP","DO",1670,NA,4.1001,NA,0.5274,NA,57.1607,NA,7.3522,NA,7.7746,NA,0.3382,NA,NA,4447835,NA,8433948,NA,1084802,NA,147548,NA,24936518,NA,5295537,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"TB","DO",127,NA,0.6051,"W",0.0702,NA,201.1324,NA,23.3285,"W",8.6218,"W",4.6033,"W",NA,5074010,NA,72294814,NA,8385162,"W",359439,NA,15704827,"W",2375110,NA,"Yes",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"DR","TX",126,NA,0.1334,NA,0.0024,NA,162.1096,NA,2.8728,NA,56.429,NA,4.8602,NA,NA,11536,NA,4878850,NA,86460,NA,30096,NA,1003831,NA,905250,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","DO",1080,NA,0.8944,NA,0.0692,NA,217.514,NA,16.8183,NA,12.9332,NA,3.0044,NA,NA,43705165,NA,631990647,NA,48865809,NA,2905517,NA,210354213,NA,30870826,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"SR","DO",10,NA,0.5533,"W",0.0346,NA,408.1933,NA,25.5599,"W",15.97,"W",12.8326,"W",NA,414680,NA,11968636,NA,749443,"W",29321,NA,932676,"W",147792,NA,"Yes",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3304,"HR","DO",998,NA,2.3076,NA,0.3491,NA,337.2365,NA,51.0164,NA,6.6103,NA,1.1702,NA,NA,402762189,NA,1153775048,NA,174540714,NA,3421264,NA,985922295,NA,79847615,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3304,"DR","PT",718,NA,3.6278,NA,0.0396,NA,89.5236,NA,0.9773,NA,91.6037,NA,8.2237,NA,NA,6097071,NA,153955747,NA,1680671,NA,1719723,NA,18720888,NA,15878795,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3304,"MB","PT",69,NA,2.2664,NA,0.3139,NA,128.8518,NA,17.8467,NA,7.2199,NA,1.079,NA,NA,3309137,NA,9933796,NA,1460056,NA,81811,NA,9769903,NA,1245302,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3304,"DR","TX",310,NA,5.0788,NA,0.039,NA,219.7104,NA,1.6874,NA,130.2045,NA,9.1443,NA,NA,578543,NA,14831989,NA,113913,NA,67507,NA,1621988,NA,1487259,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3304,"MB","DO",1209,NA,0.8377,NA,0.1153,NA,224.4189,NA,30.8836,NA,7.2666,NA,2.6138,NA,NA,80206835,NA,695780846,NA,95750592,NA,3100367,NA,266193269,NA,30377526,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2703,"MB","DO",1555,NA,1.1014,NA,0.1664,NA,148.2416,NA,22.3931,NA,6.62,NA,2.6651,NA,NA,133760413,NA,803993337,NA,121449922,NA,5423534,NA,301677908,NA,49278477,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2703,"HR","DO",1148,NA,1.3483,NA,0.1621,NA,164.0284,NA,19.7235,NA,8.3164,NA,1.317,"W",NA,102541273,NA,632460361,NA,76049871,NA,3855798,NA,480210760,"W",69510641,NA,"Yes",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"FB","PT",9,NA,8.2854,NA,0.614,NA,946.4528,NA,70.1322,NA,13.4953,NA,1.5861,NA,NA,9895123,NA,16117145,NA,1194282,NA,17029,NA,10161755,NA,176412,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"MB","DO",767,NA,0.9426,NA,0.1618,NA,203.9183,NA,35.0012,NA,5.826,NA,2.2554,NA,NA,76250797,NA,471278231,NA,80891824,NA,2311113,NA,208952722,NA,19713478,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"RB","DO",65,NA,0.9133,NA,0.3066,NA,170.0719,NA,57.0926,NA,2.9789,NA,1.4391,NA,NA,8415415,NA,27447897,NA,9214174,NA,161390,NA,19072682,NA,1454757,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"DR","PT",584,NA,2.9539,NA,0.0342,NA,106.1972,NA,1.2292,NA,86.397,NA,11.2768,NA,NA,4129568,NA,120782662,NA,1397996,NA,1137343,NA,10710752,NA,12048450,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"MB","PT",53,NA,0.1583,"W",0.0231,NA,52.8847,NA,7.7283,"W",6.843,"W",3.1266,"W",NA,119336,NA,5157212,NA,753648,"W",97518,NA,1649471,"W",784846,NA,"Yes",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"CR","PT",436,NA,8.1953,NA,0.5281,NA,512.2332,NA,33.01,NA,15.5175,NA,0.7478,NA,NA,202929763,NA,384240499,NA,24761705,NA,750128,NA,513830968,NA,22300695,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"HR","DO",338,NA,1.5378,NA,0.5492,NA,243.7419,NA,87.0464,NA,2.8001,NA,0.7955,NA,NA,177898047,NA,323930534,NA,115683733,NA,1328990,NA,407181618,NA,22203578,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"TB","DO",22,NA,0.7378,NA,0.0693,NA,486.219,NA,45.6972,NA,10.64,NA,4.5791,NA,NA,1511126,NA,21792337,NA,2048150,NA,44820,NA,4759117,NA,375096,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2428,"LR","DO",154,NA,1.5499,NA,0.3454,NA,259.2225,NA,57.7745,NA,4.4868,NA,1.9062,NA,NA,64265608,NA,186046342,NA,41465243,NA,717709,NA,97602251,NA,5241369,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"MB","PT",6,NA,1.1506,NA,0.063,NA,124.7408,NA,6.8313,NA,18.2603,NA,2.8574,NA,NA,60647,NA,962500,NA,52710,NA,7716,NA,336840,NA,150426,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"DR","PT",393,NA,3.8507,NA,0.0797,NA,69.8181,NA,1.4445,NA,48.3324,NA,7.1512,NA,NA,4435710,NA,55675486,NA,1151930,NA,797436,NA,7785430,NA,7854344,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","DO",357,NA,4.2642,"W",0.3488,NA,364.2545,NA,29.7939,"W",12.2258,"W",0.909,"W",NA,107244993,NA,307480305,NA,25150117,"W",844136,NA,338253606,"W",16621821,NA,"Yes",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"TB","DO",29,NA,0.828,"W",0.2917,NA,181.2345,NA,63.8563,"W",2.8382,"W",1.3885,"W",NA,3847568,NA,13189156,NA,4647076,"W",72774,NA,9499074,"W",611268,NA,"Yes",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"HR","DO",286,NA,1.2125,"W",0.4296,NA,213.1155,NA,75.5141,"W",2.8222,"W",0.6377,"W",NA,86166256,NA,200558724,NA,71064786,"W",941080,NA,314489396,"W",16089713,NA,"Yes",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"MB","DO",1217,NA,1.0939,"W",0.2003,NA,170.6817,NA,31.2608,"W",5.4599,"W",1.7568,"W",NA,129925436,NA,648493979,NA,118773418,"W",3799434,NA,369136718,"W",37909116,NA,"Yes",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"SR","DO",118,NA,1.0426,"W",0.2859,NA,227.3897,NA,62.355,"W",3.6467,"W",1.4185,"W",NA,21595907,NA,75534778,NA,20713198,"W",332182,NA,53250744,"W",2877276,NA,"Yes",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"RB","DO",8,NA,0.0826,NA,0.0034,NA,111.2587,NA,4.516,NA,24.6366,NA,6.7597,NA,NA,2134,NA,636511,NA,25836,NA,5721,NA,94162,NA,42514,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"CB","PT",66,NA,3.2256,NA,0.3501,NA,149.8529,NA,16.2666,NA,9.2123,NA,0.4383,NA,NA,2772421,NA,7918077,NA,859512,NA,52839,NA,18065624,NA,1510271,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"MB","DO",613,NA,0.4043,NA,0.0472,NA,143.0035,NA,16.693,NA,8.5667,NA,1.6438,NA,NA,15136348,NA,320750592,NA,37441758,NA,2242956,NA,195130824,NA,28041592,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"LR","DO",56,NA,0.1955,NA,0.029,NA,326.5763,NA,48.3795,NA,6.7503,NA,2.3201,NA,NA,2519274,NA,86998626,NA,12888105,NA,266396,NA,37497523,NA,3236011,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"VP","DO",536,NA,4.1877,NA,0.8125,NA,36.8577,NA,7.1516,NA,5.1538,NA,0.1644,NA,NA,3715388,NA,4572534,NA,887217,NA,124059,NA,27807610,NA,4555756,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"DR","PT",345,NA,1.0504,NA,0.0236,NA,60.0589,NA,1.3476,NA,44.5683,NA,4.1615,NA,NA,1325467,NA,56239572,NA,1261873,NA,936407,NA,13514183,NA,13691291,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"CB","DO",242,NA,2.615,NA,0.193,NA,234.5168,NA,17.3053,NA,13.5517,NA,0.7232,NA,NA,8521099,NA,44158583,NA,3258516,NA,188296,NA,61060629,NA,4715348,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"DR","TX",175,NA,1.0169,NA,0.0781,NA,72.861,NA,5.5968,NA,13.0183,NA,2.3389,NA,NA,294226,NA,3766843,NA,289350,NA,51699,NA,1610543,NA,1433641,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2157,"MB","PT",116,NA,0.362,NA,0.0471,NA,111.8647,NA,14.5484,NA,7.6891,NA,1.8605,NA,NA,2945131,NA,62553757,NA,8135334,NA,559191,NA,33621284,NA,6942328,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"MB","DO",611,NA,0.6166,NA,0.1014,NA,186.6746,NA,30.7051,NA,6.0796,NA,1.9405,"W",NA,34182621,NA,337048792,NA,55439277,NA,1805542,NA,173691360,"W",20425964,NA,"Yes",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"HR","DO",54,NA,1.3574,NA,0.1125,NA,442.8501,NA,36.698,NA,12.0674,NA,2.5312,"W",NA,7960336,NA,70765671,NA,5864191,NA,159796,NA,27957087,"W",4169492,NA,"Yes",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"DR","PT",503,NA,0.7694,NA,0.0124,NA,83.5548,NA,1.343,NA,62.2129,NA,6.2697,NA,NA,1303300,NA,105382245,NA,1693896,NA,1261235,NA,16808141,NA,15432243,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"LR","DO",38,NA,1.0064,NA,0.1016,NA,350.3226,NA,35.3738,NA,9.9034,NA,1.7336,"W",NA,4682551,NA,46077929,NA,4652718,NA,131530,NA,26579844,"W",2588105,NA,"Yes",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"CB","PT",280,NA,5.6456,NA,0.2619,NA,313.4888,NA,14.5414,NA,21.5584,NA,0.7481,"W",NA,14786099,NA,56462154,NA,2619035,NA,180109,NA,75476512,"W",4857107,NA,"Yes",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"DR","TX",241,NA,2.3671,NA,0.0715,NA,149.1237,NA,4.5013,NA,33.1291,NA,6.8549,NA,NA,1892661,NA,26489284,NA,799577,NA,177633,NA,3864280,NA,3091425,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"CR","PT",149,NA,5.5699,NA,0.2308,NA,1104.2487,NA,45.7479,NA,24.1377,NA,0.8159,"W",NA,37208606,NA,161245715,NA,6680248,NA,146023,NA,197632189,"W",5596811,NA,"Yes",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1888,"DR","DO",12,NA,1.0635,NA,0.0078,NA,149.8024,NA,1.0945,NA,136.8698,NA,17.2238,NA,NA,13009,NA,1674192,NA,12232,NA,11176,NA,97202,NA,134412,"Q","Yes",NA,NA,NA,NA,NA,NA
