"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","VOMS","VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train Revenue Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train Revenue Hours","Train Revenue Hours Questionable","Unlinked
Passenger
Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable?","...42","...43","...44","1"
"Pace - Suburban Bus Division","Arlington Heights","IL","5113","50113","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,1638,NA,0,NA,21703061,NA,42797203,NA,36952361,NA,6270886,NA,2467352,NA,2223983,NA,270422,NA,0,NA,0,NA,0,NA,0,NA,33116782,NA,251194182,"W",4111.5,NA,"No",NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,1528,NA,0,NA,19626648,NA,45976799,NA,40242607,NA,6009792,NA,2824227,NA,2580968,NA,259549,NA,0,NA,0,NA,0,NA,0,NA,50023219,NA,235698256,NA,2419.4,NA,"No",NA,NA,NA,NA
"San Francisco Municipal Railway","San Francisco","CA","9015","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter",3281212,1524,NA,0,NA,25838368,NA,27231035,NA,25552102,NA,2382262,NA,3645504,NA,3458751,NA,224021,NA,4043949,NA,4031285,NA,583615,NA,579709,NA,220119336,NA,464626456,NA,937.7,NA,"No",NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1491,NA,0,NA,41693769,NA,61844925,NA,58227859,"Q",6067887,NA,3933185,NA,3771194,"Q",322645,NA,4016019,NA,3890875,"Q",167959,NA,161679,"Q",116219917,"Q",849061371,"Q",5163.3,NA,"Yes",NA,NA,NA,NA
"Denver Regional Transportation District","Denver","CO","8006","80006","Independent Public Agency or Authority of Transit Service","Full Reporter",2374203,1395,NA,0,NA,46971520,NA,69402043,NA,58202575,NA,11199468,NA,4784346,NA,4103824,NA,680522,NA,4140200,NA,3925372,NA,256188,NA,229024,NA,102250731,NA,585200793,NA,3969.6,NA,"No",NA,NA,NA,NA
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY","2078","20078","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,1199,NA,0,NA,69503393,NA,78212520,NA,69969843,NA,8242677,NA,2263537,NA,2064863,NA,198674,NA,10664264,NA,9522845,NA,291812,NA,265708,NA,86299452,NA,2340179817,NA,581,NA,"No",NA,NA,NA,NA
"Miami-Dade Transit","Miami","FL","4034","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter",5502379,1129,NA,0,NA,39186395,NA,60000107,NA,52350655,NA,7649452,NA,4344039,NA,3969694,NA,374345,NA,3041999,NA,2902149,NA,191851,NA,180706,NA,106257006,NA,629554837,NA,2108.6,NA,"No",NA,NA,NA,NA
"Utah Transit Authority","Salt Lake City","UT","8001","80001","Independent Public Agency or Authority of Transit Service","Full Reporter",1021243,1104,NA,0,NA,27385827,NA,39658274,NA,36383889,NA,3274385,NA,2091359,NA,1911501,NA,179858,NA,4203963,NA,4172415,NA,196217,NA,193983,NA,46721585,NA,389556981,NA,4011.1,NA,"No",NA,NA,NA,NA
"MTA Bus Company","New York","NY","2188","20188","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,1091,NA,0,NA,27651122,NA,36820133,NA,27003958,NA,9816175,NA,4621992,NA,3158201,NA,1463791,NA,0,NA,0,NA,0,NA,0,NA,125399521,NA,370989513,NA,811.9,NA,"No",NA,NA,NA,NA
"Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail","Chicago","IL","5118","50118","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,1062,NA,0,NA,42183978,NA,45461543,NA,43419650,NA,2041893,NA,1475454,NA,1424298,NA,51156,NA,7207927,NA,6890101,NA,240650,NA,232907,NA,72631172,NA,1623729348,NA,975,NA,"No",NA,NA,NA,NA
"Dallas Area Rapid Transit","Dallas","TX","6056","60056","Independent Public Agency or Authority of Transit Service","Full Reporter",5121892,1042,NA,0,NA,38283633,NA,49327204,NA,48275574,NA,6026799,NA,3157732,NA,3199236,NA,234543,NA,5879558,NA,5762829,NA,281347,NA,275484,NA,69844822,NA,464093291,NA,2110.2,NA,"No",NA,NA,NA,NA
"MTA Long Island Rail Road","Jamaica","NY","2100","20100","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,1019,NA,0,NA,67526132,NA,76164503,NA,67522769,NA,8641734,NA,2436295,NA,2129688,NA,306607,NA,8784450,NA,7695281,NA,289688,NA,256219,NA,98699512,NA,2220654580,NA,638.2,NA,"No",NA,NA,NA,NA
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,918,NA,0,NA,28248122,NA,39294667,NA,35557741,NA,4796999,NA,2989086,NA,2805798,NA,223931,NA,4092885,NA,4036526,NA,277672,NA,272937,NA,101380984,NA,508129877,NA,1433.6,NA,"No",NA,NA,NA,NA
"Port Authority of Allegheny County","Pittsburgh","PA","3022","30022","Independent Public Agency or Authority of Transit Service","Full Reporter",1733853,912,NA,0,NA,22392414,NA,38680212,NA,31658849,NA,7021363,NA,2699603,NA,2358763,NA,340840,NA,1522252,NA,1442447,NA,124753,NA,120095,NA,65202493,NA,271752679,NA,1676.4,NA,"No",NA,NA,NA,NA
"Metro Transit","Minneapolis","MN","5027","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",2650890,885,NA,0,NA,29784698,NA,36947929,NA,29846339,NA,7101590,NA,2813414,NA,2461613,NA,351801,NA,2083689,NA,2056357,NA,164870,NA,160275,NA,85832184,NA,368643928,NA,2688.7,NA,"No",NA,NA,NA,NA
"Pace-Suburban Bus Division, ADA Paratransit Services","Arlington Heights","IL","5182","50182","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,873,NA,0,NA,0,NA,39186239,NA,34603353,NA,4966081,NA,2687817,NA,2391262,NA,320129,NA,0,NA,0,NA,0,NA,0,NA,4172105,NA,39005799,NA,0,NA,"No",NA,NA,NA,NA
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","4022","40022","Independent Public Agency or Authority of Transit Service","Full Reporter",4515419,838,NA,0,NA,45348784,NA,57582001,NA,52073725,NA,5508276,NA,3362650,NA,3098592,NA,264058,NA,4029299,NA,3928481,NA,155411,NA,149611,NA,136029205,NA,738032005,NA,1732.1,NA,"No",NA,NA,NA,NA
"City and County of Honolulu Department of Transportation Services","Honolulu","HI","9002","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter",802459,799,NA,0,NA,17854458,NA,28550535,NA,24594911,NA,4812208,NA,1971322,NA,1811094,NA,207449,NA,0,NA,0,NA,0,NA,0,NA,70501835,NA,355158181,NA,1032.7,NA,"No",NA,NA,NA,NA
"VIA Metropolitan Transit","San Antonio","TX","6011","60011","Independent Public Agency or Authority of Transit Service","Full Reporter",1758210,786,NA,0,NA,21734649,NA,39048830,NA,34687751,NA,4361079,NA,2390262,NA,2191927,NA,198335,NA,0,NA,0,NA,0,NA,0,NA,39570131,NA,196255610,NA,2265,NA,"No",NA,NA,NA,NA
"San Diego Metropolitan Transit System","San Diego","CA","9026","90026","Independent Public Agency or Authority of Transit Service","Full Reporter",2956746,732,NA,0,NA,27583894,NA,36486832,NA,31485422,NA,5001410,NA,2631159,NA,2414143,NA,217016,NA,3111347,NA,3076927,NA,176514,NA,171842,NA,94919975,NA,436511053,NA,1521.9,NA,"No",NA,NA,NA,NA
"San Diego Association of Governments","San Diego","CA","9095","90095","MPO, COG or Other Planning Agency","Full Reporter",2956746,714,NA,0,NA,0,NA,17165366,NA,17165366,NA,0,NA,376972,NA,376972,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2160324,NA,101406673,NA,0,NA,"No",NA,NA,NA,NA
"Access Services","El Monte","CA","9157","90157","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,709,NA,0,NA,0,NA,44095541,NA,37598967,NA,6496574,NA,2700258,NA,2220701,NA,479557,NA,0,NA,0,NA,0,NA,0,NA,4050277,NA,53896173,NA,0,NA,"No",NA,NA,NA,NA
"OATS, Inc.","Columbia","MO","7R03-017","7R03-70133","Private-Non-Profit Corporation","Rural Reporter",0,683,NA,0,NA,0,NA,0,NA,13449664,NA,0,NA,0,NA,720403,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1486541,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Santa Clara Valley Transportation Authority","San Jose","CA","9013","90013","Independent Public Agency or Authority of Transit Service","Full Reporter",1664496,679,NA,0,NA,19308381,NA,29175305,NA,24882685,NA,4292620,NA,2018816,NA,1822043,NA,196773,NA,2231184,NA,2081092,NA,152760,NA,140784,NA,45102666,NA,244553738,NA,1440.3,NA,"No",NA,NA,NA,NA
"Capital Metropolitan Transportation Authority","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,674,NA,0,NA,15116039,NA,25257463,NA,22370760,NA,3036328,NA,1817344,NA,1657127,NA,167260,NA,335520,NA,287997,NA,16540,NA,11976,NA,34700250,NA,183570715,NA,1328,NA,"No",NA,NA,NA,NA
"Alameda-Contra Costa Transit District","Oakland","CA","9014","90014","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,667,NA,0,NA,19215572,NA,30491361,NA,25359186,NA,5132175,NA,2350279,NA,2113557,NA,236722,NA,0,NA,0,NA,0,NA,0,NA,56020660,NA,222447853,NA,1277.6,NA,"No",NA,NA,NA,NA
"Regional Transportation Commission of Southern Nevada","Las Vegas","NV","9045","90045","Independent Public Agency or Authority of Transit Service","Full Reporter",1886011,660,NA,0,NA,16282483,NA,28824252,NA,25477371,NA,3346881,NA,2302936,NA,2090555,NA,212381,NA,0,NA,0,NA,0,NA,0,NA,66856889,NA,257393053,NA,1262.9,NA,"No",NA,NA,NA,NA
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","29","29","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,608,NA,3,NA,6638904,NA,15861430,NA,12915763,NA,2945667,NA,745735,NA,640838,NA,104897,NA,0,NA,0,NA,0,NA,0,NA,10038230,NA,107164848,NA,1059.2,NA,"No",NA,NA,NA,NA
"City of Phoenix Public Transit Department dba Valley Metro","Phoenix","AZ","9032","90032","City, County or Local Government Unit or Department of Transportation","Full Reporter",3629114,571,NA,0,NA,16569418,NA,25350279,NA,20337392,NA,5012887,NA,1830814,NA,1567887,NA,262927,NA,0,NA,0,NA,0,NA,0,NA,38684567,NA,143289757,NA,1599,NA,"No",NA,NA,NA,NA
"Central Florida Regional Transportation Authority","Orlando","FL","4035","40035","Independent Public Agency or Authority of Transit Service","Full Reporter",1510516,560,NA,0,NA,15618894,NA,27982201,NA,25442689,NA,2539512,NA,1751053,NA,1623658,NA,127395,NA,0,NA,0,NA,0,NA,0,NA,29377113,NA,169531611,NA,1726,NA,"No",NA,NA,NA,NA
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","5015","50015","Independent Public Agency or Authority of Transit Service","Full Reporter",1780673,547,NA,0,NA,18029051,NA,26384279,NA,22701685,NA,3682594,NA,2006878,NA,1817877,NA,189001,NA,2098418,NA,2079781,NA,124909,NA,121196,NA,47021540,NA,218526370,NA,1561.8,NA,"No",NA,NA,NA,NA
"VRide, Inc. - Michigan","Farmington Hills","MI","5193","50193","Private Provider Reporting on Behalf of a Public Entity","Full Reporter",3734090,539,NA,0,NA,0,NA,9489820,NA,9489820,NA,0,NA,207800,NA,207800,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1238351,NA,42802271,NA,0,NA,"No",NA,NA,NA,NA
"San Francisco Bay Area Rapid Transit District","Oakland","CA","9003","90003","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,538,NA,0,NA,69824718,NA,69116102,NA,67527341,NA,1588761,NA,2275162,NA,1918443,NA,356719,NA,9392545,NA,9180126,NA,313155,NA,265723,NA,135240559,NA,1793223842,NA,215.4,NA,"No",NA,NA,NA,NA
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,507,NA,0,NA,4386358,NA,12500362,NA,11327737,NA,1172625,NA,762759,NA,698921,NA,63838,NA,0,NA,0,NA,0,NA,0,NA,10321907,NA,64283160,NA,669.3,NA,"No",NA,NA,NA,NA
"California Vanpool Authority","Hanford","CA","9230","90230","City, County or Local Government Unit or Department of Transportation","Full Reporter",87941,505,NA,0,NA,0,NA,9360517,NA,9360517,NA,0,NA,255622,NA,255622,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2154084,NA,94156424,NA,0,NA,"No",NA,NA,NA,NA
"Broward County Transit Division","Plantation","FL","4029","40029","City, County or Local Government Unit or Department of Transportation","Full Reporter",5502379,474,NA,0,NA,15035614,NA,25065938,NA,21091294,NA,3974644,NA,1648832,NA,1484152,NA,164680,NA,0,NA,0,NA,0,NA,0,NA,37809246,NA,173667897,NA,1232.1,NA,"No",NA,NA,NA,NA
"Potomac and Rappahannock Transportation Commission","Woodbridge","VA","3070","30070","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,473,NA,0,NA,3339422,NA,11809461,NA,10293578,NA,1515883,NA,435387,NA,348759,NA,86628,NA,0,NA,0,NA,0,NA,0,NA,4107151,NA,104128943,NA,598.7,NA,"No",NA,NA,NA,NA
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.(St. Louis) Metro","St. Louis","MO","7006","70006","Independent Public Agency or Authority of Transit Service","Full Reporter",2150706,473,NA,0,NA,24572076,NA,32947460,NA,29982975,NA,2964485,NA,2049617,NA,1934095,NA,115522,NA,3150960,NA,3123475,NA,134202,NA,132106,NA,46640767,NA,290081876,NA,1873.7,NA,"No",NA,NA,NA,NA
"LACMTA - Small Operators","Los Angeles","CA","9166","90166","Other","Full Reporter",12150996,462,NA,0,NA,5800855,NA,9411479,NA,9398482,NA,1102951,NA,878901,NA,854718,NA,87650,NA,0,NA,0,NA,0,NA,0,NA,12087322,NA,30431446,NA,1135,NA,"No",NA,NA,NA,NA
"City of Detroit Department of Transportation","Detroit","MI","5119","50119","City, County or Local Government Unit or Department of Transportation","Full Reporter",3734090,454,NA,0,NA,10402680,NA,10672695,NA,10959913,NA,1604726,NA,767264,NA,1503282,NA,58009,NA,0,NA,0,NA,0,NA,0,NA,24183867,NA,98630402,NA,1015,NA,"No",NA,NA,NA,NA
"Board of County Commissioners, Palm Beach County, PalmTran, Inc.","West Palm Beach","FL","4037","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter",5502379,450,NA,0,NA,7285976,NA,18564763,NA,16330077,NA,2361079,NA,1151470,NA,1024843,"Q",135717,NA,0,NA,0,NA,0,NA,0,NA,11644819,NA,80945257,NA,1020,NA,"Yes",NA,NA,NA,NA
"Metro Mobility","St. Paul","MN","5155","50155","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",2650890,446,NA,0,NA,0,NA,22457367,NA,18954293,NA,3503074,NA,1200774,NA,1033178,NA,167596,NA,0,NA,0,NA,0,NA,0,NA,2020700,NA,22168347,NA,0,NA,"No",NA,NA,NA,NA
"Delaware Transit Corporation","Dover","DE","3075","30075","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,445,NA,0,NA,7390446,NA,18090937,NA,15953206,NA,2137731,NA,1058393,NA,966634,NA,91759,NA,0,NA,0,NA,0,NA,0,NA,10257127,NA,78659288,NA,1441,NA,"No",NA,NA,NA,NA
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,440,NA,0,NA,2130460,NA,8571047,NA,8741041,NA,535824,NA,367083,NA,365944,NA,32598,NA,0,NA,0,NA,0,NA,0,NA,3956125,NA,40069751,NA,392,NA,"No",NA,NA,NA,NA
"Milwaukee County Transit System","Milwaukee","WI","5008","50008","City, County or Local Government Unit or Department of Transportation","Full Reporter",1376476,433,NA,0,NA,16550791,NA,21041378,NA,19057522,NA,1983856,NA,1597977,NA,1505241,NA,92736,NA,0,NA,0,NA,0,NA,0,NA,39756017,NA,137197305,NA,1254,NA,"No",NA,NA,NA,NA
"Charlotte Area Transit System","Charlotte","NC","4008","40008","City, County or Local Government Unit or Department of Transportation","Full Reporter",1249442,431,NA,0,NA,12591389,NA,18942735,NA,16934866,NA,2007869,NA,1165399,NA,1072448,NA,92951,NA,528350,NA,509574,NA,34166,NA,33311,NA,27165943,NA,148900328,NA,1364.7,NA,"No",NA,NA,NA,NA
"Regional Public Transportation Authority, dba: Valley Metro","Phoenix","AZ","9136","90136","Independent Public Agency or Authority of Transit Service","Full Reporter",3629114,403,NA,0,NA,11803428,NA,14133766,NA,15133264,NA,2276790,NA,1016910,NA,1039038,NA,84808,NA,0,NA,0,NA,0,NA,0,NA,17601086,NA,82859964,NA,1688.6,NA,"No",NA,NA,NA,NA
"vRide, Inc. - Valley Metro","Phoenix","AZ","9169","90169","Private Provider Reporting on Behalf of a Public Entity","Full Reporter",3629114,397,NA,0,NA,0,NA,6421553,NA,6421553,NA,0,NA,143760,NA,143760,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1177689,NA,32461744,NA,0,NA,"No",NA,NA,NA,NA
"City of Los Angeles Department of Transportation","Los Angeles","CA","9147","90147","City, County or Local Government Unit or Department of Transportation","Full Reporter",12150996,369,NA,0,NA,6963816,NA,10622670,NA,8202177,NA,2617178,NA,926161,NA,796257,NA,141238,NA,0,NA,0,NA,0,NA,0,NA,23895017,NA,58621542,NA,1715,NA,"No",NA,NA,NA,NA
"Transportation District Commission of Hampton Roads","Hampton","VA","3083","30083","Independent Public Agency or Authority of Transit Service","Full Reporter",1439666,368,NA,0,NA,10717947,NA,15101698,NA,14610108,NA,491590,NA,1091670,NA,1051402,NA,40268,NA,393078,NA,392671,NA,29967,NA,29881,NA,16489277,NA,78084253,NA,1285.2,NA,"No",NA,NA,NA,NA
"San Mateo County Transit District","San Carlos","CA","9009","90009","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,363,NA,0,NA,6578862,NA,11919978,NA,9512537,NA,2904433,NA,805495,NA,702074,NA,124938,NA,0,NA,0,NA,0,NA,0,NA,13796204,NA,63246573,NA,785.1,NA,"No",NA,NA,NA,NA
"Central Ohio Transit Authority","Columbus","OH","5016","50016","Independent Public Agency or Authority of Transit Service","Full Reporter",1368035,361,NA,0,NA,11434824,NA,18205255,NA,14939669,NA,3265586,NA,1242792,NA,1126337,NA,116455,NA,0,NA,0,NA,0,NA,0,NA,19202529,NA,74653088,NA,1053.2,NA,"No",NA,NA,NA,NA
"Nassau Inter County Express","Garden City","NY","2206","20206","City, County or Local Government Unit or Department of Transportation","Full Reporter",18351295,353,NA,0,NA,9632091,NA,14244664,NA,12269339,NA,1975325,NA,1144005,NA,1019292,NA,124713,NA,0,NA,0,NA,0,NA,0,NA,27535454,NA,154080062,NA,715.4,NA,"No",NA,NA,NA,NA
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,351,NA,0,NA,9245669,NA,13390989,NA,10940170,NA,2450819,NA,1099148,NA,967853,NA,131295,NA,298133,NA,295398,NA,30615,NA,29499,NA,26301333,NA,91195228,NA,1151.8,NA,"No",NA,NA,NA,NA
"Southwest Ohio Regional Transit Authority","Cincinnati","OH","5012","50012","City, County or Local Government Unit or Department of Transportation","Full Reporter",1624827,346,NA,0,NA,9745667,NA,12885290,NA,10990609,"Q",1894681,NA,897824,NA,819354,"Q",78470,NA,0,NA,0,NA,0,NA,0,NA,16174753,"Q",99310897,"Q",1592.5,NA,"Yes",NA,NA,NA,NA
"Westchester County Bee-Line System","Mount Vernon","NY","2076","20076","City, County or Local Government Unit or Department of Transportation","Full Reporter",18351295,343,NA,0,NA,7792532,NA,14010520,NA,10931783,NA,3078737,NA,1058455,NA,905751,NA,152704,NA,0,NA,0,NA,0,NA,0,NA,30177431,NA,149353056,NA,1015,NA,"No",NA,NA,NA,NA
"City of Tucson","Tucson","AZ","9033","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter",843168,338,NA,0,NA,8388377,NA,14086655,NA,12057793,NA,2028862,NA,1061143,NA,962890,NA,98253,NA,181754,NA,179050,NA,22967,NA,22621,NA,21289419,NA,91923114,"W",1159.8,NA,"No",NA,NA,NA,NA
"Central Puget Sound Regional Transit Authority","Seattle","WA","40","40","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,336,NA,0,NA,16204742,NA,20272607,NA,16182145,NA,4090462,NA,952249,NA,798814,NA,153435,NA,1787866,NA,1736652,NA,96468,NA,92993,NA,34668278,NA,447734675,NA,981.8,NA,"No",NA,NA,NA,NA
"Cape Cod Regional Transit Authority","Hyannis","MA","1105","10105","Independent Public Agency or Authority of Transit Service","Full Reporter",246695,335,NA,0,NA,1351162,NA,6076681,NA,6480013,NA,950563,NA,335652,NA,386665,NA,51183,"W",0,NA,0,NA,0,NA,0,NA,1218578,NA,16162092,NA,581.1,NA,"No",NA,NA,NA,NA
"Greater Richmond Transit Company","Richmond","VA","3006","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",953556,328,NA,0,NA,4256557,NA,12604623,NA,11877541,NA,727082,NA,687747,NA,633194,NA,54553,NA,0,NA,0,NA,0,NA,0,NA,9133126,NA,64398701,NA,535,NA,"No",NA,NA,NA,NA
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,325,NA,0,NA,3346777,NA,5658038,NA,8126316,NA,438636,NA,412684,NA,474407,NA,26417,NA,0,NA,0,NA,0,NA,0,NA,11117127,NA,47582906,NA,696.3,NA,"No",NA,NA,NA,NA
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","5031","50031","Independent Public Agency or Authority of Transit Service","Full Reporter",3734090,317,NA,0,NA,8761724,NA,15230884,NA,12346400,NA,2884484,NA,842181,NA,742717,NA,99464,NA,0,NA,0,NA,0,NA,0,NA,9798638,NA,77430677,NA,1415.1,NA,"No",NA,NA,NA,NA
"Transit Authority of River City","Louisville","KY","4018","40018","Independent Public Agency or Authority of Transit Service","Full Reporter",972546,315,NA,0,NA,7104194,NA,12216131,NA,12001986,NA,1453749,NA,882758,NA,884053,NA,88211,NA,0,NA,0,NA,0,NA,0,NA,14684241,NA,59503600,NA,2308,NA,"No",NA,NA,NA,NA
