"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","1","...59","...60","...61","...62","...63","...64"
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"CR","DO",1184,NA,134,NA,32.6643,NA,23.4489,NA,47.0797,NA,61760512,NA,65049344,NA,61456337,NA,3593007,NA,2232661,NA,1881455,NA,351206,NA,9602851,NA,9063787,NA,328367,NA,281792,NA,88578277,NA,2077067508,NA,1001.8,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"LR","PT",42,NA,20,NA,16.9904,NA,3.9044,NA,125.622,NA,1955714,NA,2157133,NA,2093179,NA,63954,NA,125006,NA,123198,NA,1808,NA,1285693,NA,1245317,NA,74897,NA,72112,NA,15476385,NA,60426164,NA,34.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"VP","PT",195,NA,0,NA,43.5692,NA,37.7101,NA,7.0459,NA,0,NA,4495514,NA,4495514,NA,0,NA,103181,NA,103181,NA,0,NA,0,NA,0,NA,0,NA,0,NA,727002,NA,27415332,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"MB","DO",1750,NA,0,NA,10.4921,NA,4.0275,NA,42.5014,NA,67129024,NA,79435397,NA,66448233,NA,12987164,NA,6910009,NA,6333193,NA,576816,NA,0,NA,0,NA,0,NA,0,NA,269169596,NA,1084089074,NA,3095.67,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"VP","PT",1340,NA,0,NA,40.944,NA,44.7872,NA,5.0065,NA,0,NA,30723839,NA,30723839,NA,0,NA,750387,NA,750387,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3756783,NA,168255674,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"LR","DO",181,NA,74,NA,21.1511,NA,7.3125,NA,85.8313,NA,16842260,NA,17344147,NA,16699100,NA,645047,NA,841301,NA,789513,NA,51788,NA,7493023,NA,7214353,NA,357098,NA,334981,NA,67764920,NA,495532352,NA,171.92,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"RB","DO",33,NA,0,NA,16.0062,NA,6.5607,NA,61.2754,NA,1985468,NA,2057667,NA,1971687,NA,85980,NA,128882,NA,123183,NA,5699,NA,0,NA,0,NA,0,NA,0,NA,7548090,NA,49520717,NA,37.17,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"HR","DO",68,NA,13,NA,21.8236,NA,5.0003,NA,142.0515,NA,7035828,NA,7180486,NA,7010664,NA,169822,NA,339844,NA,321242,NA,18602,NA,1406043,NA,1373862,NA,67932,NA,64376,NA,45632924,NA,228179477,NA,31.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"MB","PT",133,NA,0,NA,11.9238,NA,4.7211,NA,27.7407,NA,5733450,NA,6970810,NA,5708735,NA,1262075,NA,527455,NA,478769,NA,48686,NA,0,NA,0,NA,0,NA,0,NA,13281369,NA,62702742,NA,618.58,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"TB","DO",140,NA,0,NA,6.7549,NA,1.8845,NA,41.7292,NA,3987215,NA,3282487,NA,3130521,NA,151966,NA,482638,NA,463444,NA,19194,NA,0,NA,0,NA,0,NA,0,NA,19339147,NA,36445193,NA,116.86,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"FB","DO",2,NA,0,NA,9.9759,NA,4.9872,NA,122.7402,NA,49148,NA,48762,NA,48762,NA,0,NA,4888,NA,4888,NA,0,NA,0,NA,0,NA,0,NA,0,NA,599954,NA,2992092,NA,24,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"SR","DO",8,NA,8,NA,4.8116,NA,1.0981,NA,35.1913,NA,219796,NA,197192,NA,193810,NA,3382,NA,41629,NA,40280,NA,1349,NA,197192,NA,193809,NA,41629,NA,40280,NA,1417507,NA,1556551,NA,7.85,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"DT","PT",52,NA,0,NA,36.0854,NA,15.6627,NA,2.6553,NA,0,NA,0,NA,1411445,NA,0,NA,0,NA,39114,NA,0,NA,0,NA,0,NA,0,NA,0,NA,103861,NA,1626743,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"MB","PT",29,NA,0,NA,13.2702,NA,3.8331,NA,12.1516,NA,965284,NA,1203342,NA,964917,NA,238425,NA,82250,NA,72713,NA,9537,NA,0,NA,0,NA,0,NA,0,NA,883578,NA,3386876,NA,345,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"VP","DO",1617,NA,0,NA,26.9845,NA,18.1602,NA,6.4382,NA,0,NA,15199378,NA,15199378,NA,0,NA,563263,NA,563263,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3626422,NA,65856719,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"DR","PT",320,NA,0,NA,12.2818,NA,10.0103,NA,1.3446,NA,0,NA,9322733,NA,7802103,NA,1520630,NA,733952,NA,635259,NA,98693,NA,0,NA,0,NA,0,NA,0,NA,854155,NA,8550338,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"MB","DO",986,NA,0,NA,11.0435,NA,4.7478,NA,33.994,NA,33249182,NA,41850492,NA,32853414,NA,8997078,NA,3392311,NA,2974921,NA,417390,NA,0,NA,0,NA,0,NA,0,NA,101129569,NA,480141778,NA,2357.13,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"HR","DO",954,NA,143,NA,24.4279,NA,5.8412,NA,70.7636,NA,87700942,NA,81717802,NA,78379605,NA,3338197,NA,3390718,NA,3208614,NA,182104,NA,12859523,NA,12338022,NA,533580,NA,521502,NA,227053037,NA,1326262650,NA,234.2,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"DT","PT",252,NA,0,NA,22.0707,NA,15.4536,NA,1.5578,NA,0,NA,0,NA,2215257,NA,0,NA,0,NA,100371,NA,0,NA,0,NA,0,NA,0,NA,0,NA,156356,NA,2416262,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"DR","PT",633,NA,0,NA,9.8651,NA,9.2,NA,1.1417,NA,0,NA,22491678,NA,19114755,NA,3376923,NA,2210573,NA,1937617,NA,272956,NA,0,NA,0,NA,0,NA,0,NA,2212193,NA,20352131,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"MB","DO",1290,NA,0,NA,10.1359,NA,2.9971,NA,31.1784,NA,40260314,NA,51112693,NA,40026923,NA,11085770,NA,4588906,NA,3949021,NA,639885,NA,0,NA,0,NA,0,NA,0,NA,123124352,NA,369020804,NA,2099.98,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2719,"MB","DO",1579,NA,0,NA,9.0589,NA,2.4597,NA,43.1774,NA,52473138,NA,57867087,NA,52290416,NA,5576671,NA,6192762,NA,5772259,NA,420503,NA,0,NA,0,NA,0,NA,0,NA,249231171,NA,613043935,NA,1540.27,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2719,"HR","DO",1140,NA,155,NA,18.0009,NA,5.9036,NA,56.2933,NA,73823660,NA,74542490,NA,73612276,NA,930214,NA,4443894,NA,4089367,NA,354527,NA,12153973,NA,12013322,NA,737405,NA,677161,NA,230204047,NA,1359029663,NA,207.84,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"MB","DO",767,NA,0,NA,9.8028,NA,2.6076,NA,47.7074,NA,21934189,NA,24600032,NA,21669220,NA,2930812,NA,2442071,NA,2210516,NA,231555,NA,0,NA,0,NA,0,NA,0,NA,105457861,NA,274990173,NA,1509.41,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"TB","DO",22,NA,0,NA,9.249,NA,2.2928,NA,43.045,NA,433948,NA,435834,NA,427322,NA,8512,NA,49018,NA,46202,NA,2816,NA,0,NA,0,NA,0,NA,0,NA,1988765,NA,4559747,NA,21.58,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"FB","PT",9,NA,0,NA,9.852,NA,11.1246,NA,64.5731,NA,236820,NA,230205,NA,227257,NA,2948,NA,23761,NA,23067,NA,694,NA,0,NA,0,NA,0,NA,0,NA,1489508,NA,16570127,NA,38.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"RB","DO",30,NA,0,NA,8.475,NA,1.8878,NA,83.9161,NA,1082031,NA,1085932,NA,1064286,NA,21646,NA,127407,NA,125579,NA,1828,NA,0,NA,0,NA,0,NA,0,NA,10538096,NA,19893655,NA,10.38,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"DR","PT",689,NA,0,NA,13.0826,NA,8.6025,NA,1.47,NA,0,NA,21055863,NA,17667292,NA,3388571,NA,1794990,NA,1350443,NA,444547,NA,0,NA,0,NA,0,NA,0,NA,1985115,NA,17077017,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"LR","DO",156,NA,81,NA,8.855,NA,2.5522,NA,93.202,NA,6311155,NA,5935770,NA,5918680,NA,17090,NA,670239,NA,668402,NA,1837,NA,3439582,NA,3434596,NA,393165,NA,388003,NA,62296430,NA,158992398,NA,51,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"MB","PT",8,NA,0,NA,12.5107,NA,2.1024,NA,28.5615,NA,391483,NA,404516,NA,380300,NA,24216,NA,32265,NA,30398,NA,1867,NA,0,NA,0,NA,0,NA,0,NA,868211,NA,1825365,NA,80,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"CR","PT",436,NA,67,NA,31.1724,NA,20.55,NA,42.4821,NA,24857003,NA,25645356,NA,24911491,NA,733865,NA,819943,NA,799152,NA,20791,NA,4841871,NA,4702929,NA,154858,NA,150841,NA,33949637,NA,697665040,NA,776.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"HR","DO",336,NA,56,NA,15.3484,NA,3.3987,NA,106.5679,NA,24092538,NA,24234457,NA,23634793,NA,599664,NA,1612006,NA,1539889,NA,72117,NA,4039076,NA,3939132,NA,268668,NA,256648,NA,164102709,NA,557734891,NA,76.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"MB","DO",1187,NA,0,NA,9.932,NA,3.2595,NA,41.0805,NA,39682264,NA,45037321,NA,39448920,NA,5588401,NA,4368690,NA,3971902,NA,396788,NA,0,NA,0,NA,0,NA,0,NA,163167788,NA,531848827,NA,2503.1,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"HR","DO",286,NA,61,NA,18.5384,NA,3.6734,NA,103.5965,NA,16810800,NA,16970071,NA,16799585,NA,170486,NA,915775,NA,906207,NA,9568,NA,3268737,NA,3235681,NA,176398,NA,174568,NA,93879889,NA,344859706,NA,74.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"TB","DO",30,NA,0,NA,8.3868,NA,1.9616,NA,63.9141,NA,857473,NA,826282,NA,809765,NA,16517,NA,98402,NA,96552,NA,1850,NA,0,NA,0,NA,0,NA,0,NA,6171031,NA,12105313,NA,30.56,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"DR","PT",394,NA,0,NA,10.4488,NA,7.1421,NA,1.5924,NA,0,NA,13298905,NA,11184357,NA,2114548,NA,1238507,NA,1070395,NA,168112,NA,0,NA,0,NA,0,NA,0,NA,1704463,NA,12173363,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"SR","DO",122,NA,122,NA,8.5831,NA,2.4164,NA,71.3556,NA,3470548,NA,3316853,NA,3193515,NA,123338,NA,386600,NA,372070,NA,14530,NA,3316853,NA,3193515,NA,386600,NA,372070,NA,26549260,NA,64152704,NA,82.93,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"MB","PT",6,NA,0,NA,16.4584,NA,5.7901,"W",6.7461,NA,166934,NA,218075,NA,166575,NA,51500,NA,12536,NA,10121,NA,2415,NA,0,NA,0,NA,0,NA,0,NA,68277,NA,395329,"W",21.6,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"CR","DO",350,NA,80,NA,21.1981,NA,12.8326,NA,36.1956,NA,19530218,NA,20508286,NA,19449298,NA,1058988,NA,962833,NA,917500,NA,45333,NA,5273736,NA,5010432,NA,247495,NA,236219,NA,33209489,NA,426163583,NA,446.94,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"DR","PT",327,NA,0,NA,15.8232,NA,11.0992,NA,1.6138,NA,0,NA,20244725,NA,16371554,NA,3873171,NA,1192025,NA,1034654,NA,157371,NA,0,NA,0,NA,0,NA,0,NA,1669729,NA,18532714,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"MB","DO",591,NA,0,NA,12.1763,NA,5.107,NA,20.7467,NA,29075275,NA,32852101,NA,28756452,NA,4095649,NA,2525132,NA,2361682,NA,163450,NA,0,NA,0,NA,0,NA,0,NA,48997160,NA,250226338,NA,2430.17,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"CB","PT",64,NA,0,NA,28.0464,NA,20.0401,NA,24.5332,NA,2088546,NA,2856990,NA,2071004,NA,785986,NA,100709,NA,73842,NA,26867,NA,0,NA,0,NA,0,NA,0,NA,1811583,NA,36304252,NA,284.32,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"LR","DO",54,NA,33,NA,11.6017,NA,2.7982,NA,63.8215,NA,3389002,NA,3343331,NA,3330168,NA,13163,NA,289243,NA,287042,NA,2201,NA,2089278,NA,2076115,NA,196882,NA,194682,NA,18319444,NA,51261219,NA,43.59,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
