"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modes","mode_names","facility_type","pre1940","_1940s","_1950s","_1960s","_1970s","_1980s","_1990s","_2000s","_2010s","_2020s","total_facilities"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","FB","Ferryboat","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","0","1","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","6","7"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","At-Grade Fixed Guideway Station","0","0","0","0","0","0","0","2","1","0","3"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Bus Transfer Center","0","0","0","0","0","1","2","9","3","0","15"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Elevated Fixed Guideway Station","0","0","0","0","0","0","0","3","0","1","4"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Exclusive Platform Station","0","0","0","0","0","0","0","4","0","0","4"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","1","1","1","0","0","0","3"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","2","2","3","0","0","1","8"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","5","10","6","6","2","2","31"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Parking Structure","0","0","0","0","0","2","3","5","6","1","17"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Revenue Collection Facility","0","0","0","0","0","0","1","0","0","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Surface Parking Lot","2","1","7","12","12","13","26","19","8","1","101"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Underground Fixed Guideway Station","0","0","0","0","0","0","0","5","2","0","7"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Vehicle Fueling Facility","0","0","0","0","2","2","2","0","0","0","6"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB","Bus","Vehicle Washing Facility","0","0","0","0","0","1","1","0","0","0","2"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB, TB","Bus, Trolleybus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB, TB","Bus, Trolleybus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","1","0","0","0","0","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB, TB","Bus, Trolleybus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","MB, TB","Bus, Trolleybus","Vehicle Fueling Facility","0","0","0","0","0","2","0","0","0","0","2"
"Village of Milan","Milan","NM","60148","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3",,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","SR","Streetcar Rail","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","1","0","2"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","SR","Streetcar Rail","Simple At-Grade Platform Station","0","0","0","0","0","0","0","11","14","0","25"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","TB","Trolleybus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","VP","Vanpool","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","1","0","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","1","0","0","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","0","0","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","MB","Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","1","3","4","1","2","11"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","83764","Spokane, WA","447279","279","MB","Bus","Surface Parking Lot","0","0","0","0","0","1","0","0","0","0","1"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","2","1","0","1","0","0","4"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","3","5","0","0","0","8"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Parking Structure","0","0","0","0","0","0","1","0","0","0","1"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Surface Parking Lot","0","0","0","0","0","2","2","0","0","0","4"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Vehicle Fueling Facility","0","0","0","0","0","1","0","0","0","0","1"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","DR, MB","Demand Response, Bus","Vehicle Washing Facility","0","0","0","0","0","1","0","0","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","0","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","1","0","0","0","0","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","DR, MB","Demand Response, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","1","0","0","0","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","MB","Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","2","0","0","2"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","0","1","1"
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","97507","Yakima, WA","133145","44","CB, MB","Commuter Bus, Bus","Bus Transfer Center","0","0","0","0","0","0","1","0","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","DR","Demand Response","Surface Parking Lot","0","0","0","0","0","0","0","1","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","DR","Demand Response","Vehicle Washing Facility","0","0","0","0","0","0","0","1","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","0","1","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","2","0","0","0","2"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Administrative Office / Sales Office","0","0","0","0","0","0","3","0","1","0","4"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Bus Transfer Center","0","0","0","0","0","0","1","1","0","0","2"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","1","0","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","1","0","1","0","2"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Surface Parking Lot","0","0","0","0","0","0","1","0","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Vehicle Fueling Facility","0","0","0","0","0","0","1","0","0","0","1"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB, RB","Bus, Bus Rapid Transit","Vehicle Washing Facility","0","0","0","0","0","0","1","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","1","0","0","0","1","0","2"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","At-Grade Fixed Guideway Station","0","0","0","0","0","5","13","13","8","0","39"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Elevated Fixed Guideway Station","0","0","0","0","0","0","0","1","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Exclusive Platform Station","0","0","0","0","0","19","7","23","4","0","53"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","1","1","0","0","0","2"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","1","0","3","5","0","0","9"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Parking Structure","0","0","0","0","0","0","3","2","1","0","6"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Surface Parking Lot","0","0","0","0","0","3","8","8","1","0","20"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Underground Fixed Guideway Station","0","0","0","0","0","0","1","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","Vehicle Washing Facility","0","0","0","0","0","0","0","0","1","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR, MB","Light Rail, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","2","1","1","0","4"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR, MB","Light Rail, Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","3","5","2","0","0","10"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR, MB","Light Rail, Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","1","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR, YR","Light Rail, Hybrid Rail","At-Grade Fixed Guideway Station","0","0","0","0","0","0","1","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Administrative Office / Sales Office","0","0","0","0","0","1","0","0","1","0","2"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Bus Transfer Center","0","0","0","0","1","0","2","0","0","0","3"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","1","1","0","0","0","1","3"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","1","1","2","3","0","0","7"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","2","5","4","0","1","12"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","25","2","6","0","33"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Vehicle Fueling Facility","0","0","0","0","1","0","0","0","1","1","3"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","Vehicle Washing Facility","0","0","0","0","1","0","0","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB, YR","Bus, Hybrid Rail","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","YR","Hybrid Rail","At-Grade Fixed Guideway Station","0","0","0","0","0","0","0","4","0","0","4"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","YR","Hybrid Rail","Exclusive Platform Station","0","0","0","0","0","0","0","1","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","YR","Hybrid Rail","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","0","0","1","0","0","1"
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","YR","Hybrid Rail","Surface Parking Lot","0","0","0","0","0","0","0","3","0","0","3"
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","08785","Boise City, ID","433180","70","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","08785","Boise City, ID","433180","70","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","1","0","0","0","1"
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","08785","Boise City, ID","433180","70","DR, MB","Demand Response, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","08785","Boise City, ID","433180","70","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","1","0","1"
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","DR","Demand Response","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","2","0","0","0","0","2"
