"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","0","...65"
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"MB","DO",1894,NA,0,NA,14.8542,NA,7.0292,NA,14.6519,NA,71379847,NA,94108947,NA,72294493,NA,21814454,NA,5856715,NA,4866930,NA,989785,NA,0,NA,0,NA,0,NA,0,NA,71309971,NA,501249932,NA,5669.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"LR","DO",15,NA,15,NA,9.4198,NA,2.289,NA,49.9161,NA,527419,NA,519258,NA,505977,NA,13281,NA,60571,NA,53714,NA,6857,NA,519258,NA,505977,NA,60571,NA,53714,NA,2681196,NA,6137281,NA,12.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"CR","DO",897,NA,113,NA,33.1792,NA,27.7185,NA,11.2206,NA,56509835,NA,59186463,NA,56469325,NA,2717138,NA,2017107,NA,1701950,NA,315157,NA,8824512,NA,8341255,NA,299832,NA,256808,NA,19096916,NA,529338529,NA,920.4,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"DR","TX",76,NA,0,NA,24.0632,NA,9.7519,NA,2.4675,NA,0,NA,0,NA,55225,NA,0,NA,0,NA,2295,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5663,NA,55225,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"MB","PT",47,NA,0,NA,14.6467,NA,5.7098,NA,12.8893,NA,1309380,NA,1835383,NA,1302856,NA,532527,NA,110341,NA,88952,NA,21389,NA,0,NA,0,NA,0,NA,0,NA,1146530,NA,6546471,NA,174.94,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"DR","PT",644,NA,0,NA,10.1677,NA,8.236,NA,0.7622,NA,0,NA,17451641,NA,14124258,NA,3327383,NA,1645404,NA,1389136,NA,256268,NA,0,NA,0,NA,0,NA,0,NA,1058839,NA,8720576,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"MB","DO",963,NA,0,NA,9.8795,NA,3.0528,NA,18.1161,NA,28049594,NA,34650582,NA,27910366,NA,6740216,NA,3342608,NA,2825065,NA,517543,NA,0,NA,0,NA,0,NA,0,NA,51179137,NA,156237247,NA,1585.18,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"HR","DO",998,NA,115,NA,23.1772,NA,5.4629,NA,11.6294,NA,81316086,NA,75767724,NA,72843843,NA,2923881,NA,3270196,NA,3142911,NA,127285,NA,9471854,NA,9085713,NA,440392,NA,422378,NA,36550201,NA,199671853,NA,234.2,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2685,"MB","DO",1525,NA,0,NA,9.114,NA,2.5292,NA,22.7574,NA,52862147,NA,50125883,NA,46999961,NA,3125922,NA,5480880,NA,5156899,NA,323981,NA,0,NA,0,NA,0,NA,0,NA,117357515,NA,296815552,NA,1529.17,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2685,"HR","DO",1160,NA,160,NA,17.945,NA,6.3819,"W",19.4956,NA,88845844,NA,73376048,NA,72369642,NA,1006406,NA,4369041,NA,4032851,NA,336190,NA,10260794,NA,10124579,NA,617133,NA,568491,NA,78623048,NA,501767758,"W",207.84,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"VP","PT",813,NA,0,NA,39.986,NA,46.9792,NA,3.0321,NA,0,NA,14983841,NA,14983841,NA,0,NA,374727,NA,374727,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1136208,NA,53378163,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"MB","PT",109,NA,0,NA,12.0723,NA,3.792,NA,18.4836,NA,4298785,NA,5014475,NA,4284300,NA,730175,NA,382398,NA,354886,NA,27512,NA,0,NA,0,NA,0,NA,0,NA,6559583,NA,24874038,NA,560.38,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"RB","DO",15,NA,0,NA,15.2554,NA,5.8509,NA,35.8165,NA,1280804,NA,1324249,NA,1256269,NA,67980,NA,84767,NA,82349,NA,2418,NA,0,NA,0,NA,0,NA,0,NA,2949449,NA,17256952,NA,35.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"MB","DO",1399,NA,0,NA,10.4968,NA,2.8606,NA,28.9875,NA,52813633,NA,58831156,NA,51519197,NA,7311959,NA,5230886,NA,4908070,NA,322816,NA,0,NA,0,NA,0,NA,0,NA,142272806,NA,406991963,NA,3164.79,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"LR","DO",110,NA,43,NA,20.9383,NA,6.6093,NA,38.5534,NA,12461826,NA,12836257,NA,12421319,NA,414938,NA,618775,NA,593233,NA,25542,NA,5564976,NA,5387476,NA,267840,NA,256988,NA,22871129,NA,151162455,NA,171.92,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"HR","DO",54,NA,10,NA,21.7383,NA,5.2444,NA,65.6361,NA,6305350,NA,6430418,NA,6255775,NA,174643,NA,301867,NA,287777,NA,14090,NA,1264817,NA,1230631,NA,60677,NA,57898,NA,18888550,NA,99058351,NA,31.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"DR","DO",41,NA,0,NA,7.22,NA,2.4924,NA,1.1092,NA,0,NA,394970,NA,274057,NA,120913,NA,42093,NA,37958,NA,4135,NA,0,NA,0,NA,0,NA,0,NA,42104,NA,104942,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"LR","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"CB","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"DR","TX",79,NA,0,NA,29.2339,NA,11.6307,NA,2.7811,NA,0,NA,0,NA,934957,NA,0,NA,0,NA,31982,NA,0,NA,0,NA,0,NA,0,NA,0,NA,88944,NA,1034484,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","PT",41,NA,0,NA,11.9651,NA,3.8462,NA,5.1056,NA,1008737,NA,1179709,NA,994051,NA,185658,NA,90433,NA,83079,NA,7354,NA,0,NA,0,NA,0,NA,0,NA,424166,NA,1631439,NA,133,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"DR","PT",230,NA,0,NA,10.349,NA,10.0002,NA,1.2042,NA,0,NA,5910433,NA,4022799,NA,1887634,NA,511018,NA,388714,NA,122304,NA,0,NA,0,NA,0,NA,0,NA,468104,NA,4681124,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"SR","DO",10,NA,10,NA,5.1558,NA,1.1963,"W",22.8272,"W",190383,NA,193919,NA,187454,NA,6465,NA,38371,NA,36358,NA,2013,NA,193919,NA,187454,NA,38371,NA,36358,NA,829953,"W",992847,"W",7.85,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"VP","DO",1038,NA,0,NA,32.0428,NA,20.5959,NA,5.027,NA,0,NA,3264549,NA,3264549,NA,0,NA,101881,NA,101881,NA,0,NA,0,NA,0,NA,0,NA,0,NA,512160,NA,10548410,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"TB","DO",126,NA,0,NA,6.6489,NA,1.799,NA,19.7474,NA,3336789,NA,2870606,NA,2685561,NA,185045,NA,428525,NA,403910,NA,24615,NA,0,NA,0,NA,0,NA,0,NA,7976186,NA,14349255,NA,116.86,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","DO",824,NA,0,NA,10.8931,NA,4.1242,NA,14.8652,NA,30371389,NA,37443660,NA,30859322,NA,6584338,NA,3205418,NA,2832920,NA,372498,NA,0,NA,0,NA,0,NA,0,NA,42112037,NA,173679796,NA,1436.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"FB","DO",2,NA,0,NA,9.6266,NA,3.4309,NA,55.6652,NA,49932,NA,49606,NA,49606,NA,0,NA,5153,NA,5153,NA,0,NA,0,NA,0,NA,0,NA,0,NA,286843,NA,984134,NA,24,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"MB","PT",69,"Q",0,NA,11.3311,NA,2.33,NA,4.3898,NA,1244950,NA,1236591,NA,1192323,NA,44268,NA,106992,NA,105226,NA,1766,NA,0,NA,0,NA,0,NA,0,NA,461917,NA,1076279,NA,80,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"FB","PT",8,"Q",0,NA,10.2671,NA,7.9613,NA,11.8941,NA,213798,NA,152361,NA,149859,NA,2502,NA,15079,NA,14596,NA,483,NA,0,NA,0,NA,0,NA,0,NA,173607,NA,1382134,NA,14.58,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"DR","PT",432,"Q",0,NA,14.0321,NA,7.4412,NA,1.1078,NA,0,NA,12792738,NA,9610603,NA,3182135,NA,1144356,NA,684902,NA,459454,NA,0,NA,0,NA,0,NA,0,NA,758764,NA,5646101,NA,0,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"CR","PT",416,"Q",68,NA,29.7266,NA,22.1654,NA,10.4342,NA,19894108,NA,20570758,NA,19929696,NA,641062,NA,693060,NA,670434,NA,22626,NA,3743534,NA,3623867,NA,125860,NA,121647,NA,6995413,NA,155056157,NA,776.08,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"RB","DO",39,"Q",0,NA,9.2913,NA,2.128,NA,30.0948,NA,1515405,NA,1572591,NA,1475936,NA,96655,NA,167962,NA,158851,NA,9111,NA,0,NA,0,NA,0,NA,0,NA,4780593,NA,10173308,NA,13.02,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"TB","DO",22,"Q",0,NA,8.98,NA,2.3942,NA,19.7882,NA,412375,NA,404896,NA,378401,NA,26495,NA,45227,NA,42138,NA,3089,NA,0,NA,0,NA,0,NA,0,NA,833836,NA,1996401,NA,21.58,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"MB","DO",775,"Q",0,NA,9.3981,NA,2.6299,NA,22.4823,NA,23437854,NA,22409176,NA,19793493,NA,2615683,NA,2322777,NA,2106120,NA,216657,NA,0,NA,0,NA,0,NA,0,NA,47350398,NA,124526862,NA,1512.52,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"LR","DO",155,"Q",68,NA,8.2876,NA,2.4962,NA,23.7384,NA,5288833,NA,5179647,NA,5157964,NA,21683,NA,630242,NA,622368,NA,7874,NA,2589824,NA,2578983,NA,315121,NA,311184,NA,14774020,NA,36878734,NA,51,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2252,"HR","DO",336,"Q",84,NA,15.0292,NA,3.275,NA,30.2302,NA,22836813,NA,22823049,NA,22284336,NA,538713,NA,1546363,NA,1482732,NA,63631,NA,3176629,NA,3107098,NA,257724,NA,247122,NA,44823236,NA,146795474,NA,76.3,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2099,"MB","PT",3,NA,0,NA,16.2159,NA,6.5815,"W",2.7453,NA,127580,NA,152211,NA,127068,NA,25143,NA,9014,NA,7836,NA,1178,NA,0,NA,0,NA,0,NA,0,NA,21512,NA,141581,"W",15.2,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2099,"DR","PT",175,NA,0,NA,9.7017,NA,6.1862,NA,1.1835,NA,0,NA,4968515,NA,4193545,NA,774970,NA,506232,NA,432247,NA,73985,NA,0,NA,0,NA,0,NA,0,NA,511572,NA,3164694,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2099,"SR","DO",108,NA,108,NA,8.7915,NA,2.5538,"W",26.4965,"W",3212346,NA,2573263,NA,2472828,NA,100435,NA,292842,NA,281275,NA,11567,NA,2573263,NA,2472828,NA,292842,NA,281275,NA,7452795,"W",19033147,"W",82.93,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2099,"TB","DO",29,NA,0,NA,8.3998,NA,2.0395,"W",20.7448,"W",959065,NA,838121,NA,820512,NA,17609,NA,99794,NA,97682,NA,2112,NA,0,NA,0,NA,0,NA,0,NA,2026394,"W",4132774,"W",30.56,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2099,"MB","DO",1212,NA,0,NA,9.9771,NA,3.1151,"W",15.5362,"W",42122814,NA,43931696,NA,38714661,NA,5217035,NA,4239751,NA,3880346,NA,359405,NA,0,NA,0,NA,0,NA,0,NA,60285701,"W",187793685,"W",2522.8,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2099,"HR","DO",286,NA,61,NA,16.8513,NA,4.4024,"W",29.7695,"W",17088244,NA,16303264,NA,16213547,NA,89717,NA,967737,NA,962155,NA,5582,NA,3474078,NA,3454951,NA,206127,NA,204892,NA,28642836,"W",126097585,"W",74.9,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
