"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"TB","DO",22,NA,0.9637,NA,0.1589,NA,261.0836,NA,43.045,NA,6.0654,NA,2.6455,NA,NA,1916535,NA,12062585,NA,1988765,NA,46202,NA,4559747,NA,427322,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"LR","DO",156,NA,1.3354,NA,0.4446,NA,279.9511,NA,93.202,NA,3.0037,NA,1.1769,NA,NA,83191624,NA,187119893,NA,62296430,NA,668402,NA,158992398,NA,5918680,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"MB","PT",6,NA,1.2387,NA,0.0811,NA,103.0193,NA,6.7461,NA,15.271,NA,2.6374,"W",NA,84576,NA,1042658,NA,68277,NA,10121,NA,395329,"W",166575,NA,"Yes",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"DR","PT",394,NA,3.452,NA,0.0924,NA,59.4915,NA,1.5924,NA,37.3604,NA,5.231,NA,NA,5883824,NA,63679395,NA,1704463,NA,1070395,NA,12173363,NA,11184357,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"CR","DO",350,NA,4.1247,NA,0.508,NA,293.8923,NA,36.1956,NA,8.1196,NA,0.6327,NA,NA,136979155,NA,269646215,NA,33209489,NA,917500,NA,426163583,NA,19449298,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"TB","DO",30,NA,0.9571,NA,0.4048,NA,151.1092,NA,63.9141,NA,2.3643,NA,1.2052,NA,NA,5906220,NA,14589899,NA,6171031,NA,96552,NA,12105313,NA,809765,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"HR","DO",286,NA,1.0831,NA,0.5032,NA,222.9742,NA,103.5965,NA,2.1523,NA,0.5859,NA,NA,101684198,NA,202060773,NA,93879889,NA,906207,NA,344859706,NA,16799585,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"SR","DO",122,NA,0.9684,NA,0.3546,NA,194.891,NA,71.3556,NA,2.7313,NA,1.1303,NA,NA,25710304,NA,72513107,NA,26549260,NA,372070,NA,64152704,NA,3193515,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2375,"MB","DO",1187,NA,1.0456,NA,0.2715,NA,158.2016,NA,41.0805,NA,3.851,NA,1.1815,NA,NA,170604460,NA,628361295,NA,163167788,NA,3971902,NA,531848827,NA,39448920,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"CB","PT",64,NA,3.3695,NA,0.5624,NA,146.984,NA,24.5332,NA,5.9912,NA,0.299,NA,NA,6104211,NA,10853594,NA,1811583,NA,73842,NA,36304252,NA,2071004,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"VP","PT",604,NA,3.3299,NA,0.5443,"Q",51.8952,"Q",8.4827,NA,6.1177,"Q",0.2027,"Q",NA,6533083,NA,12002584,"Q",1961928,NA,231285,NA,59209797,NA,8460910,NA,"Yes",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"MB","DO",591,NA,0.4301,NA,0.0745,NA,119.7456,NA,20.7467,NA,5.7718,NA,1.1302,NA,NA,21071735,NA,282800925,NA,48997160,NA,2361682,NA,250226338,NA,28756452,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"LR","DO",54,NA,0.3258,NA,0.0916,NA,227.0355,NA,63.8215,NA,3.5574,NA,1.2713,NA,NA,5968525,NA,65168737,NA,18319444,NA,287042,NA,51261219,NA,3330168,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"DR","PT",327,NA,1.1701,NA,0.0393,NA,48.0112,NA,1.6138,NA,29.7503,NA,2.6804,NA,NA,1953704,NA,49674936,NA,1669729,NA,1034654,NA,18532714,NA,16371554,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"CB","DO",246,NA,3.5317,NA,0.4118,NA,204.8585,NA,23.885,NA,8.5769,NA,0.4613,NA,NA,21441402,NA,52070736,NA,6071063,NA,254179,NA,112867945,NA,6329043,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"DT","PT",134,NA,1.557,NA,0.1175,NA,43.9873,NA,3.3209,NA,13.2457,NA,1.2428,NA,NA,380874,NA,3240103,NA,244616,NA,73660,NA,2607009,NA,2192243,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2121,"MB","PT",101,NA,0.4519,NA,0.082,NA,103.4169,NA,18.7698,NA,5.5098,NA,1.4112,NA,NA,4091423,NA,49883126,NA,9053603,NA,482350,NA,35347719,NA,5819829,NA,"No",NA,NA,NA,NA,NA,NA
"Puerto Rico Highway and Transportation Authority - Público","San Juan","PR","4105","40105","State Government Unit or Department of Transportation","Full Reporter",2148346,1726,"PB","PT",1726,NA,1.4941,NA,0.9692,NA,18.2371,NA,11.8296,NA,1.5417,NA,0.372,NA,NA,29217225,NA,30147034,NA,19555033,NA,1653064,NA,81048151,NA,18006357,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"DR","DO",8,NA,0.9292,NA,0.0052,NA,247.4917,NA,1.3743,NA,180.0909,NA,24.326,NA,NA,4316,NA,836522,NA,4645,NA,3380,NA,34388,NA,27980,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"MB","DO",604,NA,0.7492,NA,0.1725,NA,174.1333,NA,40.0927,NA,4.3433,NA,1.1215,NA,NA,52394732,NA,303743294,NA,69934287,NA,1744315,NA,270836888,NA,19808157,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"HR","DO",54,NA,1.1674,NA,0.2354,NA,302.0633,NA,60.9128,NA,4.9589,NA,1.0454,NA,NA,12202211,NA,51834660,NA,10452750,NA,171602,NA,49581700,NA,4536624,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"DR","PT",511,NA,1.056,NA,0.0271,NA,55.9323,NA,1.4355,NA,38.9648,NA,3.9326,NA,NA,2162889,NA,79810591,NA,2048276,NA,1426913,NA,20294804,NA,18597991,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"LR","DO",38,NA,0.9772,NA,0.1684,NA,271.5004,NA,46.7857,NA,5.8031,NA,0.8817,NA,NA,7177772,NA,42626110,NA,7345442,NA,157002,NA,48343150,NA,2940690,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"DT","PT",38,NA,2.95,NA,0.1419,NA,87.5713,NA,4.2124,NA,20.7888,NA,3.9003,NA,NA,2067918,NA,14572748,NA,700989,NA,166410,NA,3736277,NA,2830513,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"CB","PT",280,NA,5.1502,NA,0.3285,NA,266.693,NA,17.0128,NA,15.676,NA,0.3534,NA,NA,19930945,NA,60664667,NA,3869911,NA,227470,NA,171683870,NA,6373747,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1680,"CR","PT",147,NA,5.7066,NA,0.3688,NA,838.9873,NA,54.2201,NA,15.4737,NA,0.5233,NA,NA,52587240,NA,142591765,NA,9215084,NA,169957,NA,272481938,NA,6494190,NA,"No",NA,NA,NA,NA,NA,NA
"Pace - Suburban Bus Division","Arlington Heights","IL","5113","50113","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,1582,"MB","PT",83,NA,1.1118,NA,0.1396,NA,107.4762,NA,13.4934,NA,7.9651,NA,1.6231,NA,NA,1920745,NA,13760068,NA,1727543,NA,128029,NA,8477820,NA,1599589,NA,"No",NA,NA,NA,NA,NA,NA
"Pace - Suburban Bus Division","Arlington Heights","IL","5113","50113","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,1582,"DR","DO",8,NA,1.6977,NA,0.0856,NA,55.6063,NA,2.8035,NA,19.8344,NA,2.8183,NA,NA,78005,NA,911331,NA,45947,NA,16389,NA,323358,NA,200197,NA,"No",NA,NA,NA,NA,NA,NA
