"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA Population","Agency Voms","Modes","Facility Type","Pre1940","1940's","1950's","1960's","1970's","1980's","1990's","2000's","2010's","2020's","Total Facilities"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Vehicle Fueling Facility",0,0,0,0,2,2,2,0,0,0,6
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Vehicle Washing Facility",0,0,0,0,0,1,1,0,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB, TB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,1,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB, TB","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,1,0,0,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB, TB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB, TB","Vehicle Fueling Facility",0,0,0,0,0,2,0,0,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"SR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,1,1,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"SR","Simple At-Grade Platform Station",0,0,0,0,0,0,0,11,14,0,25
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"TB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"VP","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,1,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"DR","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"DR","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,1,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,0,1,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,0,0,0,1,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"MB","Other, Passenger or Parking (describe in Notes)",0,0,0,0,0,1,3,4,1,2,11
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,276,"MB","Surface Parking Lot",0,0,0,0,0,1,0,0,0,0,1
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Administrative Office / Sales Office",0,0,0,0,2,1,0,1,0,0,4
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Bus Transfer Center",0,0,0,0,0,3,5,0,0,0,8
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Parking Structure",0,0,0,0,0,0,1,0,0,0,1
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Surface Parking Lot",0,0,0,0,0,2,2,0,0,0,4
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Vehicle Fueling Facility",0,0,0,0,0,1,0,0,0,0,1
"Pierce County Transportation Benefit Area Authority","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,351,"DR, MB","Vehicle Washing Facility",0,0,0,0,0,1,0,0,0,0,1
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","0T04","4","Tribe","Reduced Reporter",0,4,"FB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,2,0,0,2
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","0T04","4","Tribe","Reduced Reporter",0,4,"FB","Ferryboat Terminal",0,0,0,0,0,4,0,0,0,0,4
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,0,1,0,0,1
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,1,0,0,0,0,0,0,1
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"DR, MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,1,0,0,0,0,0,1
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"MB","Bus Transfer Center",0,0,0,0,0,0,0,2,0,0,2
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,39,"MB","Surface Parking Lot",0,0,0,0,0,0,0,0,0,1,1
"City of Yakima, dba: Yakima Transit","Yakima","WA","6","6","City, County or Local Government Unit or Department of Transportation","Full Reporter",129534,45,"CB, MB","Bus Transfer Center",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"DR","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"DR","Surface Parking Lot",0,0,0,0,0,0,0,1,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"DR","Vehicle Washing Facility",0,0,0,0,0,0,0,1,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB","Bus Transfer Center",0,0,0,0,0,0,0,0,0,1,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB","Surface Parking Lot",0,0,0,0,0,0,2,0,0,0,2
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Administrative Office / Sales Office",0,0,0,0,0,0,3,0,1,0,4
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Bus Transfer Center",0,0,0,0,0,0,1,1,0,0,2
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,0,1,0,1,0,2
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Surface Parking Lot",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Vehicle Fueling Facility",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,115,"MB, RB","Vehicle Washing Facility",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"DR","Administrative Office / Sales Office",0,0,0,0,0,1,0,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"DR","General Purpose Maintenance Facility/Depot",0,0,0,0,1,1,0,0,0,0,2
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"DR","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,0,1,0,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","At-Grade Fixed Guideway Station",0,0,0,0,0,5,13,13,8,0,39
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","Elevated Fixed Guideway Station",0,0,0,0,0,0,0,1,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","Exclusive Platform Station",0,0,0,0,0,19,8,23,4,0,54
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,0,1,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,0,1,1,0,0,0,2
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","Parking Structure",0,0,0,0,0,0,3,2,2,0,7
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","Surface Parking Lot",0,0,0,0,0,3,8,8,1,0,20
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR","Underground Fixed Guideway Station",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR, MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,0,0,0,1,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR, MB","Other, Passenger or Parking (describe in Notes)",0,0,0,0,0,2,4,2,0,0,8
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR, MB","Surface Parking Lot",0,0,0,0,0,0,0,0,1,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"LR, YR","At-Grade Fixed Guideway Station",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Administrative Office / Sales Office",0,0,0,0,0,1,0,0,1,0,2
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Bus Transfer Center",0,0,0,0,1,0,2,0,0,0,3
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,1,1,0,0,0,1,3
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,1,1,0,0,0,2
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Other, Passenger or Parking (describe in Notes)",0,0,0,0,0,2,5,4,0,1,12
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Surface Parking Lot",0,0,0,0,0,0,25,2,6,0,33
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB","Vehicle Fueling Facility",0,0,0,0,0,0,0,0,1,1,2
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"MB, YR","Other, Passenger or Parking (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"YR","At-Grade Fixed Guideway Station",0,0,0,0,0,0,0,4,0,0,4
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"YR","Exclusive Platform Station",0,0,0,0,0,0,0,1,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"YR","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,0,0,0,1,0,0,1
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,736,"YR","Surface Parking Lot",0,0,0,0,0,0,0,3,0,0,3
"Kalispel Tribe of Indians","Cusick","WA","0T09","9","Tribe","Reduced Reporter",0,1,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,1,0,0,0,0,0,1
"Klamath Tribes","Chiloquin","OR","0T10","10","Tribe","Reduced Reporter",0,7,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,68,"DR","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,68,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,1,0,0,0,1
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,68,"DR, MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,68,"MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,143,"DR","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,143,"DR, MB","Administrative Office / Sales Office",0,0,0,0,0,2,0,0,0,0,2
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,143,"MB","Bus Transfer Center",0,0,0,0,0,1,0,0,0,0,1
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,143,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,0,0,0,1
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,143,"MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Sitka Tribe of Alaska","Sitka","AK","0T14","14","Tribe","Reduced Reporter",0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Snoqualmie Indian Tribe","Snoqualmie","WA","0T15","15","Tribe","Reduced Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,19,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,19,"DR, MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,19,"DR, MB","Vehicle Fueling Facility",0,0,0,0,0,0,1,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,19,"DR, MB","Vehicle Washing Facility",0,0,0,0,0,1,0,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,19,"MB","Bus Transfer Center",1,0,0,0,0,0,0,0,0,1,2
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,19,"MB","Surface Parking Lot",0,0,0,0,0,0,0,0,0,1,1
"Stillaguamish Tribe of Indians","Arlington","WA","0T17","17","Tribe","Reduced Reporter",0,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"DR, MB, VP","Administrative Office / Sales Office",0,0,0,0,0,2,0,0,0,0,2
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"DR, MB, VP","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"DR, MB, VP","Vehicle Fueling Facility",0,0,0,0,0,0,0,1,0,0,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"DR, MB, VP","Vehicle Washing Facility",0,0,0,0,0,0,0,1,0,0,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"MB","Bus Transfer Center",0,0,0,0,0,2,0,1,0,0,3
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"MB, VP","Bus Transfer Center",0,0,0,0,0,0,0,0,0,1,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,222,"VP","Surface Parking Lot",0,0,0,0,0,0,0,1,1,0,2
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,233,"CB, DR, MB, VP","Administrative Office / Sales Office",0,0,0,0,0,1,0,0,0,0,1
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,233,"CB, DR, MB, VP","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,233,"CB, MB","Bus Transfer Center",0,0,0,0,0,0,2,0,0,1,3
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,233,"CB, MB","Surface Parking Lot",0,0,0,0,0,1,0,0,1,0,2
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,233,"MB","At-Grade Fixed Guideway Station",0,0,0,0,0,0,1,0,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"DR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"DR, FB, MB","Ferryboat Terminal",0,0,0,0,0,0,0,1,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,0,1,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"DR, MB","Surface Parking Lot",0,0,0,0,0,0,0,0,8,0,8
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"FB","Ferryboat Terminal",0,0,0,0,0,0,0,1,1,0,2
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,213,"FB, MB","Ferryboat Terminal",0,0,0,1,0,0,0,1,0,0,2
