"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","1"
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"LR","DO",14,NA,14,NA,9.8945,NA,2.2973,NA,105.6154,NA,512216,NA,518228,NA,507528,NA,10700,NA,57620,NA,51294,NA,6326,NA,518228,NA,507528,NA,57620,NA,51294,NA,5417438,NA,12445497,NA,12.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"DR","PT",427,NA,0,NA,15.9987,NA,6.2823,NA,1.6376,NA,0,NA,20047091,NA,16718421,NA,3328670,NA,1247876,NA,1044989,NA,202887,NA,0,NA,0,NA,0,NA,0,NA,1711304,NA,10750959,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"CR","DO",923,NA,115,NA,32.5888,NA,22.3999,NA,49.8353,NA,58707291,NA,61612840,NA,58567859,NA,3044981,NA,2129668,NA,1797179,NA,332489,NA,8809500,NA,8312485,NA,306169,NA,263093,NA,89562931,NA,2006197776,NA,920.4,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3469,"VP","PT",1259,NA,0,NA,39.9807,NA,43.9914,NA,4.5299,NA,0,NA,28602524,NA,28602524,NA,0,NA,715408,NA,715408,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3240720,NA,142563803,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3469,"RB","DO",26,NA,0,NA,15.5294,NA,6.5897,NA,61.9555,NA,1741546,NA,1766449,NA,1719522,NA,46927,NA,113393,NA,110727,NA,2666,NA,0,NA,0,NA,0,NA,0,NA,6860145,NA,45206002,NA,35.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3469,"MB","PT",134,NA,0,NA,11.6588,NA,4.8103,NA,24.8434,NA,5808426,NA,7114023,NA,5775759,NA,1338264,NA,551147,NA,495401,NA,55746,NA,0,NA,0,NA,0,NA,0,NA,12307451,NA,59202628,NA,617.38,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3469,"MB","DO",1784,NA,0,NA,10.3431,NA,4.1034,NA,40.142,NA,66759705,NA,78277205,NA,65595822,NA,12681383,NA,6934416,NA,6341989,NA,592427,NA,0,NA,0,NA,0,NA,0,NA,254580163,NA,1044644827,NA,3183.67,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3469,"LR","DO",198,NA,74,NA,20.4927,NA,7.7572,NA,68.845,NA,17846621,NA,18327299,NA,17757242,NA,570057,NA,905929,NA,866517,NA,39412,NA,7082768,NA,6858527,NA,342911,NA,327363,NA,59655365,NA,462756222,NA,171.92,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3469,"HR","DO",68,NA,13,NA,21.9135,NA,4.8211,NA,137.3117,NA,6898656,NA,7046461,NA,6874200,NA,172261,NA,331995,NA,313697,NA,18298,NA,1406383,NA,1373477,NA,67651,NA,64104,NA,43074277,NA,207664947,NA,31.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3391,"MB","PT",93,NA,0,NA,15.575,NA,7.4838,NA,20.8259,NA,910981,NA,1423229,NA,901961,NA,521268,NA,74734,NA,57911,NA,16823,NA,0,NA,0,NA,0,NA,0,NA,1206050,NA,9025834,NA,278.04,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3391,"MB","DO",1286,NA,0,NA,9.7966,NA,2.9357,NA,32.7687,NA,36783721,NA,47301979,NA,36511319,NA,10790660,NA,4321458,NA,3726938,NA,594520,NA,0,NA,0,NA,0,NA,0,NA,122127065,NA,358532948,NA,2132.18,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3391,"HR","DO",920,NA,129,NA,23.2049,NA,5.7365,NA,62.4315,NA,86052287,NA,87736624,NA,85106645,NA,2629979,NA,3791974,NA,3667616,NA,124358,NA,12729276,NA,12351442,NA,550159,NA,532300,NA,228974810,NA,1313511151,NA,234.2,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3391,"DT","PT",338,NA,0,NA,24.8636,NA,18.4495,NA,1.4769,NA,0,NA,0,NA,2283499,NA,0,NA,0,NA,91841,NA,0,NA,0,NA,0,NA,0,NA,0,NA,135638,NA,2502448,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3391,"DR","PT",754,NA,0,NA,9.2748,NA,9.8863,NA,1.0425,NA,0,NA,23341986,NA,19685883,NA,3656103,NA,2458805,NA,2122506,NA,336299,NA,0,NA,0,NA,0,NA,0,NA,2212686,NA,21875322,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"FB","DO",3,NA,0,NA,8.7023,NA,4.9374,NA,116.6043,NA,52876,NA,52362,NA,52362,NA,0,NA,6017,NA,6017,NA,0,NA,0,NA,0,NA,0,NA,0,NA,701608,NA,3464136,NA,24,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"DT","PT",89,NA,0,NA,30.5354,NA,13.4928,NA,2.6451,NA,0,NA,0,NA,2052404,NA,0,NA,0,NA,67214,NA,0,NA,0,NA,0,NA,0,NA,0,NA,177791,NA,2398907,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"DR","PT",327,NA,0,NA,12.1218,NA,10.0098,NA,1.2645,NA,0,NA,10111164,NA,8511613,NA,1599551,NA,810225,NA,702176,NA,108049,NA,0,NA,0,NA,0,NA,0,NA,887915,NA,8887848,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"VP","DO",1649,NA,0,NA,27.693,NA,18.6791,NA,6.2392,NA,0,NA,14648137,NA,14648137,NA,0,NA,528947,NA,528947,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3300186,NA,61644511,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"TB","DO",140,NA,0,NA,6.19,NA,1.8538,"W",41.2364,"W",3592260,NA,2777247,NA,2607942,NA,169305,NA,441433,NA,421313,NA,20120,NA,0,NA,0,NA,0,NA,0,NA,17373451,"W",32207119,"W",116.86,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"SR","DO",10,NA,10,NA,4.805,NA,1.0883,"W",43.5763,"W",220301,NA,209216,NA,205470,NA,3746,NA,44019,NA,42762,NA,1257,NA,209216,NA,205470,NA,44019,NA,42762,NA,1863409,"W",2027877,"W",7.85,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"MB","PT",29,NA,0,NA,12.9527,NA,3.8571,NA,10.2111,NA,1066956,NA,1239819,NA,1058834,NA,180985,NA,88985,NA,81746,NA,7239,NA,0,NA,0,NA,0,NA,0,NA,834720,NA,3219577,NA,175,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3233,"MB","DO",986,NA,0,NA,11.1314,NA,4.571,NA,32.547,NA,34366248,NA,45147292,NA,35407340,NA,9739952,NA,3719681,NA,3180859,NA,538822,NA,0,NA,0,NA,0,NA,0,NA,103527532,NA,473228334,NA,2036.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2730,"MB","DO",1566,NA,0,NA,9.0842,NA,2.4517,NA,40.8104,NA,52671147,NA,58570574,NA,52816557,NA,5754017,NA,6232942,NA,5814122,NA,418820,NA,0,NA,0,NA,0,NA,0,NA,237276400,NA,581741988,NA,1523.57,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2730,"HR","DO",1164,NA,159,NA,18.0988,NA,6.3082,NA,53.7417,NA,73904888,NA,74717681,NA,73574040,NA,1143641,NA,4419638,NA,4065132,NA,354506,NA,12236160,NA,12064032,NA,735322,NA,676559,NA,218467141,NA,1378128437,NA,207.84,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"HR","DO",338,NA,56,NA,15.1263,NA,3.5674,NA,105.1745,NA,24256606,NA,23639531,NA,23062016,NA,577515,NA,1596373,NA,1524626,NA,71747,NA,3939922,NA,3843669,NA,266062,NA,254104,NA,160351814,NA,572046325,NA,76.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"FB","PT",9,NA,0,NA,10.546,NA,8.7995,NA,63.7345,NA,267582,NA,265863,NA,262174,NA,3689,NA,25483,NA,24860,NA,623,NA,0,NA,0,NA,0,NA,0,NA,1584440,NA,13942294,NA,38.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"DR","PT",617,NA,0,NA,11.0091,NA,7.8344,NA,1.3133,NA,0,NA,18824163,NA,15610789,NA,3213374,NA,1697348,NA,1417991,NA,279357,NA,0,NA,0,NA,0,NA,0,NA,1862279,NA,14589884,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"CR","PT",436,NA,67,NA,30.058,NA,20.9627,NA,37.5821,NA,24959347,NA,25460595,NA,24935847,NA,524748,NA,846892,NA,829590,NA,17302,NA,4699665,NA,4600781,NA,156426,NA,153214,NA,31177738,NA,653570994,NA,776.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"TB","DO",22,NA,0,NA,8.4718,NA,2.3612,NA,47.3973,NA,577948,NA,542304,NA,540018,NA,2286,NA,70830,NA,63743,NA,7087,NA,0,NA,0,NA,0,NA,0,NA,3021243,NA,7133649,NA,21.58,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"RB","DO",42,NA,0,NA,7.5546,NA,2.0221,NA,58.8718,NA,1597292,NA,1570501,NA,1474538,NA,95963,NA,204264,NA,195184,NA,9080,NA,0,NA,0,NA,0,NA,0,NA,11490833,NA,23235147,NA,13.02,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"MB","PT",70,NA,0,NA,11.6591,NA,2.2718,"W",10.7889,"W",1028455,NA,1112654,NA,1028451,NA,84203,NA,91967,NA,88210,NA,3757,NA,0,NA,0,NA,0,NA,0,NA,951692,"W",2162081,"W",80,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"MB","DO",779,NA,0,NA,7.8489,NA,2.5729,NA,36.4937,NA,21212522,NA,24232008,NA,21357273,NA,2874735,NA,2962590,NA,2721051,NA,241539,NA,0,NA,0,NA,0,NA,0,NA,99301293,NA,255494460,NA,1512.52,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2464,"LR","DO",151,NA,86,NA,8.6529,NA,2.4172,NA,86.5097,NA,6118464,NA,5717481,NA,5698854,NA,18627,NA,661352,NA,658603,NA,2749,NA,3047456,NA,3041050,NA,360738,NA,355794,NA,56975564,NA,137719112,NA,51,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"TB","DO",29,NA,0,NA,9.2041,NA,2.0395,NA,64.2939,NA,797380,NA,655439,NA,643614,NA,11825,NA,71387,NA,69927,NA,1460,NA,0,NA,0,NA,0,NA,0,NA,4495882,NA,9169225,NA,30.56,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"SR","DO",120,NA,120,NA,8.6689,NA,2.5538,NA,61.7898,NA,3700946,NA,3317889,NA,3201148,NA,116741,NA,382946,NA,369266,NA,13680,NA,3317889,NA,3201148,NA,382946,NA,369266,NA,22816878,NA,58270354,NA,82.93,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"MB","PT",6,NA,0,NA,16.9138,NA,5.6814,NA,7.9245,NA,166183,NA,217004,NA,165569,NA,51435,NA,12232,NA,9789,NA,2443,NA,0,NA,0,NA,0,NA,0,NA,77573,NA,440720,NA,21.6,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"MB","DO",1185,NA,0,NA,9.9772,NA,3.1151,NA,37.3166,NA,41357942,NA,46627032,NA,41141919,NA,5485113,NA,4495847,NA,4123602,NA,372245,NA,0,NA,0,NA,0,NA,0,NA,153878781,NA,479341915,NA,2522.8,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"HR","DO",287,NA,61,NA,18.2977,NA,4.4024,NA,97.2322,NA,17333379,NA,17228995,NA,17078643,NA,150352,NA,942028,NA,933376,NA,8652,NA,3320072,NA,3290801,NA,181467,NA,179798,NA,90754189,NA,399537395,NA,74.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"DR","PT",415,NA,0,NA,9.9118,NA,6.944,NA,1.4765,NA,0,NA,12112139,NA,10157850,NA,1954289,NA,1199427,NA,1024827,NA,174600,NA,0,NA,0,NA,0,NA,0,NA,1513129,NA,10507130,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2390,"CR","DO",348,NA,83,NA,20.5007,NA,13.4104,NA,35.0293,NA,20584179,NA,21290301,NA,20325604,NA,964697,NA,1033512,NA,991458,NA,42054,NA,5378225,NA,5137470,NA,261078,NA,250539,NA,34730053,NA,465744543,NA,446.94,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2131,"VP","DO",553,NA,0,NA,36.6798,NA,31.0656,NA,8.2748,NA,0,NA,7941973,NA,7941973,NA,0,NA,216522,NA,216522,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1791670,NA,55659344,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2131,"MB","PT",99,NA,0,NA,12.0036,NA,4.2876,NA,18.2279,NA,6032024,NA,6900457,NA,6012988,NA,887469,NA,535939,NA,500930,NA,35009,NA,0,NA,0,NA,0,NA,0,NA,9130881,NA,39149156,NA,1139.03,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2131,"MB","DO",613,NA,0,NA,12.1578,NA,5.2959,NA,20.6232,NA,29884017,NA,33969400,NA,29719729,NA,4249671,NA,2616114,NA,2444491,NA,171623,NA,0,NA,0,NA,0,NA,0,NA,50413144,NA,266982461,NA,2446.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
