"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA Population","Agency Voms","Modes","Facility Type","Pre1940","1940's","1950's","1960's","1970's","1980's","1990's","2000's","2010's","2020's","Total Facilities"
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,1,0,0,0,0,0,0,1
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"DR, MB","Other, Administrative & Maintenance",0,0,0,0,1,0,0,0,0,0,1
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"MB","Bus Transfer Center",0,0,0,0,0,0,0,2,0,0,2
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"MB","Other, Administrative & Maintenance",0,0,0,0,0,0,0,1,0,0,1
"City of Yakima, dba: Yakima Transit","Yakima","WA","6","6","City, County or Local Government Unit or Department of Transportation","Full Reporter",129534,58,"CB, MB","Bus Transfer Center",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"DR","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"DR","Surface Parking Lot",0,0,0,0,0,0,0,1,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"DR","Vehicle Washing Facility",0,0,0,0,0,0,0,1,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB","Surface Parking Lot",0,0,0,0,0,1,2,0,0,0,3
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Administrative Office / Sales Office",0,0,0,0,0,0,3,0,1,0,4
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Bus Transfer Center",0,0,0,0,0,0,1,1,0,0,2
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Other, Administrative & Maintenance",0,0,0,0,0,0,1,0,1,0,2
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Surface Parking Lot",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Vehicle Fueling Facility",0,0,0,0,0,0,1,0,0,0,1
"Lane Transit District","Eugene","OR","7","7","Independent Public Agency or Authority of Transit Service","Full Reporter",247421,236,"MB, RB","Vehicle Washing Facility",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"DR","Administrative Office / Sales Office",0,0,0,0,0,1,0,0,1,0,2
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"DR","General Purpose Maintenance Facility/Depot",0,0,0,0,1,1,0,0,0,0,2
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"DR","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,0,1,0,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","At-Grade Fixed Guideway Station",0,0,0,0,0,5,13,13,8,0,39
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","Elevated Fixed Guideway Station",0,0,0,0,0,0,0,1,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","Exclusive Platform Station",0,0,0,0,0,19,8,23,4,0,54
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,0,1,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,0,1,1,0,0,0,2
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","Parking Structure",0,0,0,0,0,0,3,2,2,0,7
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","Surface Parking Lot",0,0,0,0,0,3,8,8,1,0,20
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR","Underground Fixed Guideway Station",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR, MB","Other, Passenger or Parking",0,0,0,0,0,2,4,2,0,0,8
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR, MB","Surface Parking Lot",0,0,0,0,0,0,0,0,1,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"LR, YR","At-Grade Fixed Guideway Station",0,0,0,0,0,0,1,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB","Bus Transfer Center",0,0,0,0,1,0,2,0,0,0,3
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,2,1,0,0,0,0,3
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB","Other, Administrative & Maintenance",0,0,0,0,0,1,1,0,0,0,2
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB","Other, Passenger or Parking",0,0,0,0,0,0,1,2,0,0,3
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB","Surface Parking Lot",0,0,0,0,0,0,25,2,6,0,33
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"MB, YR","Other, Passenger or Parking",0,0,0,0,0,1,0,0,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"YR","At-Grade Fixed Guideway Station",0,0,0,0,0,0,0,4,0,0,4
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"YR","Exclusive Platform Station",0,0,0,0,0,0,0,1,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"YR","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,0,0,0,1,0,0,1
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","8","8","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,982,"YR","Surface Parking Lot",0,0,0,0,0,0,0,3,0,0,3
"Kalispel Tribe of Indians","Cusick","WA","0T09","9","Tribe","Reduced Reporter",0,7,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,1,0,0,0,0,0,1
"Klamath Tribes","Chiloquin","OR","0T10","10","Tribe","Reduced Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,73,"DR","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,73,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,1,0,0,0,1
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,73,"DR, MB","Other, Administrative & Maintenance",0,0,0,0,0,1,0,0,0,0,1
"Valley Regional Transit","Meridian","ID","11","11","Independent Public Agency or Authority of Transit Service","Full Reporter",349684,73,"MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"Municipality of Anchorage, dba: Public Transportation Department","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,162,"DR","Other, Administrative & Maintenance",0,0,0,0,0,0,0,1,0,0,1
"Municipality of Anchorage, dba: Public Transportation Department","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,162,"DR, MB","Administrative Office / Sales Office",0,0,0,0,0,2,0,0,0,0,2
"Municipality of Anchorage, dba: Public Transportation Department","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,162,"MB","Bus Transfer Center",0,0,0,0,0,1,0,0,0,0,1
"Municipality of Anchorage, dba: Public Transportation Department","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,162,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,0,0,0,1
"Municipality of Anchorage, dba: Public Transportation Department","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,162,"MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Sitka Tribe of Alaska","Sitka","AK","0T14","14","Tribe","Reduced Reporter",0,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Snoqualmie Indian Tribe","Snoqualmie","WA","0T15","15","Tribe","Reduced Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,24,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,24,"DR, MB","Other, Administrative & Maintenance",0,0,0,0,0,1,0,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,24,"DR, MB","Vehicle Fueling Facility",0,0,0,0,0,0,1,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,24,"DR, MB","Vehicle Washing Facility",0,0,0,0,0,1,0,0,0,0,1
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,24,"MB","Bus Transfer Center",1,0,0,0,0,0,0,0,0,1,2
"RiverCities Transit","Longview","WA","16","16","City, County or Local Government Unit or Department of Transportation","Full Reporter",63952,24,"MB","Surface Parking Lot",0,0,0,0,0,0,0,0,0,1,1
"Stillaguamish Tribe of Indians","Arlington","WA","0T17","17","Tribe","Reduced Reporter",0,17,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"DR, MB, VP","Administrative Office / Sales Office",0,0,0,0,0,2,0,0,0,0,2
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"DR, MB, VP","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"DR, MB, VP","Vehicle Fueling Facility",0,0,0,0,0,0,0,1,0,0,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"DR, MB, VP","Vehicle Washing Facility",0,0,0,0,0,0,0,1,0,0,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"MB","Bus Transfer Center",0,0,0,0,0,2,0,1,0,0,3
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"MB, VP","Bus Transfer Center",0,0,0,0,0,0,0,0,0,1,1
"Ben Franklin Transit","Richland","WA","18","18","Independent Public Agency or Authority of Transit Service","Full Reporter",210975,388,"VP","Surface Parking Lot",0,0,0,0,0,0,0,1,1,0,2
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,289,"CB, DR, MB, VP","Administrative Office / Sales Office",0,0,0,0,0,1,0,0,0,0,1
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,289,"CB, DR, MB, VP","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,289,"CB, MB","Bus Transfer Center",0,0,0,0,0,0,2,0,0,1,3
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,289,"CB, MB","Surface Parking Lot",0,0,0,0,0,1,0,0,1,0,2
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,289,"MB","At-Grade Fixed Guideway Station",0,0,0,0,0,0,1,0,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"DR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"DR, FB, MB","Ferryboat Terminal",0,0,0,0,0,0,0,1,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"DR, MB","Surface Parking Lot",0,0,0,0,0,0,0,0,8,0,8
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"FB","Ferryboat Terminal",0,0,0,0,0,0,0,1,1,0,2
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"FB, MB","Ferryboat Terminal",0,0,0,1,0,0,0,1,0,0,2
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"FB, MB","Other, Passenger or Parking",0,0,0,0,0,0,0,2,0,0,2
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"MB","Bus Transfer Center",0,0,0,0,0,0,0,1,1,0,2
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,0,1,0,1
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,257,"MB","Other, Administrative & Maintenance",0,0,0,0,0,0,1,0,0,0,1
"Whatcom Transportation Authority","Bellingham","WA","21","21","Independent Public Agency or Authority of Transit Service","Full Reporter",114473,102,"DR, MB, VP","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Whatcom Transportation Authority","Bellingham","WA","21","21","Independent Public Agency or Authority of Transit Service","Full Reporter",114473,102,"MB","Bus Transfer Center",0,0,0,0,0,1,1,2,0,0,4
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","22","22","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",69809,28,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","22","22","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",69809,28,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","23","23","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,8,"MG","Administrative Office / Sales Office",0,0,0,1,0,0,0,0,0,0,1
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","23","23","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,8,"MG","Elevated Fixed Guideway Station",0,0,0,1,0,1,0,0,0,0,2
