"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"YR","PT",17,NA,0.8527,NA,0.0713,NA,649.13,NA,54.3094,NA,11.9524,NA,0.8332,NA,NA,2302804,NA,32279287,NA,2700645,NA,49727,NA,38740464,NA,1259015,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"LR","DO",14,NA,0.9639,NA,0.2343,NA,444.5754,NA,108.0619,NA,4.1141,NA,1.7687,NA,NA,5235383,NA,22345248,NA,5431405,NA,50262,NA,12633883,NA,503616,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"CR","DO",1185,NA,6.4525,NA,0.5524,NA,538.1005,NA,46.0655,NA,11.6812,NA,0.4733,NA,NA,561748246,NA,1016958264,NA,87059367,NA,1889904,NA,2148639449,NA,62182061,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3458,"HR","DO",68,NA,0.7384,NA,0.1882,NA,540.4059,NA,137.7149,NA,3.9241,NA,0.8172,NA,NA,32305014,NA,171688051,NA,43752286,NA,317702,NA,210105497,NA,6976333,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3458,"RB","DO",31,NA,0.742,NA,0.1552,NA,287.7096,NA,60.1704,NA,4.7816,NA,0.7209,NA,NA,5318843,NA,34276862,NA,7168515,NA,119137,NA,47544324,NA,1943594,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3458,"LR","DO",196,NA,0.7398,NA,0.1301,NA,435.6793,NA,76.6355,NA,5.6851,NA,0.7624,NA,NA,49115930,NA,377416763,NA,66387207,NA,866272,NA,495011734,NA,17999250,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3458,"MB","DO",1750,NA,0.798,NA,0.1844,NA,179.1297,NA,41.402,NA,4.3266,NA,1.0746,NA,NA,208201105,NA,1128817799,NA,260902211,NA,6301677,NA,1050459894,NA,65506552,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3458,"MB","PT",135,NA,0.4009,NA,0.1013,NA,102.6722,NA,25.9509,NA,3.9564,NA,0.8281,NA,NA,5101263,NA,50338142,NA,12723209,NA,490280,NA,60785294,NA,5741745,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3458,"VP","PT",1278,NA,4.4617,NA,1.0356,NA,20.6281,NA,4.7878,NA,4.3085,NA,0.0978,NA,NA,15295759,NA,14770438,NA,3428229,NA,716034,NA,151003912,NA,28919140,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"MB","DO",986,NA,1.3686,NA,0.2572,NA,180.4783,NA,33.9224,NA,5.3203,NA,1.0945,NA,NA,141559189,NA,550309447,NA,103435175,NA,3049172,NA,502807522,NA,33894208,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"DT","PT",71,NA,1.0339,NA,0.0598,NA,51.7828,NA,2.9956,NA,17.2863,NA,1.2618,NA,NA,148623,NA,2484851,NA,143747,NA,47986,NA,1969214,NA,1675833,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"DR","PT",304,NA,1.0339,NA,0.0134,NA,101.8242,NA,1.3197,NA,77.1595,NA,7.7095,NA,NA,913277,NA,68155901,NA,883312,NA,669349,NA,8840480,NA,8335875,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"MB","PT",29,NA,1.2561,NA,0.1024,NA,136.9405,NA,11.159,NA,12.2717,NA,3.198,NA,NA,1038089,NA,10141948,NA,826450,NA,74061,NA,3171300,NA,970734,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"FB","DO",2,NA,4.8006,NA,0.5309,NA,1175.2306,NA,129.9619,NA,9.0429,NA,1.8074,NA,NA,3189322,NA,6007779,NA,664365,NA,5112,NA,3323914,NA,49706,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"VP","DO",1608,NA,2.085,NA,0.6928,NA,18.0094,NA,5.9838,NA,3.0097,NA,0.1591,NA,NA,7224125,NA,10427848,NA,3464738,NA,579024,NA,65559773,NA,15043713,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"TB","DO",140,NA,1.3178,NA,0.3309,NA,154.6751,NA,38.8394,NA,3.9824,NA,2.0801,NA,NA,23655207,NA,71487600,NA,17950742,NA,462179,NA,34367474,NA,3086246,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3150,"SR","DO",10,NA,0.834,NA,0.1339,NA,246.6887,NA,39.592,NA,6.2308,NA,5.658,NA,NA,1405910,NA,10503016,NA,1685668,NA,42576,NA,1856308,NA,207850,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3139,"HR","DO",888,NA,2.3404,NA,0.5137,NA,295.2219,NA,64.7986,NA,4.556,NA,0.7948,NA,NA,536496025,NA,1044384320,NA,229233254,NA,3537625,NA,1314002629,NA,81751483,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3139,"DR","PT",729,NA,3.9986,NA,0.0719,NA,58.9398,NA,1.0595,NA,55.6295,NA,5.2563,NA,NA,9041285,NA,125784310,NA,2261107,NA,2134116,NA,23930248,NA,20337418,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3139,"DT","PT",244,NA,5.3358,NA,0.0495,NA,154.0149,NA,1.4276,NA,107.8822,NA,5.8608,NA,NA,659001,NA,13323987,NA,123505,NA,86511,NA,2273415,NA,2077424,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3139,"MB","DO",1278,NA,1.0295,NA,0.1818,NA,179.8752,NA,31.769,NA,5.662,NA,1.8489,NA,NA,123209808,NA,677631392,NA,119681096,NA,3767231,NA,366498831,NA,37061070,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2711,"MB","DO",1569,NA,1.1544,NA,0.3432,NA,140.5858,NA,41.7958,NA,3.3636,NA,1.3776,NA,NA,279555025,NA,814581632,NA,242173010,NA,5794197,NA,591323738,NA,52314606,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2711,"HR","DO",1142,NA,1.3903,NA,0.5083,NA,151.8818,NA,55.5288,NA,2.7352,NA,0.4409,NA,NA,314065224,NA,617865221,NA,225894953,NA,4068066,NA,1401502999,NA,73461555,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"CB","PT",64,NA,2.8545,NA,0.4675,NA,140.906,NA,23.0752,NA,6.1064,NA,0.3244,NA,NA,5144911,NA,11006029,NA,1802379,NA,78109,NA,33923059,NA,2194786,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"MB","DO",598,NA,0.5022,NA,0.0895,NA,117.2067,NA,20.8932,NA,5.6098,NA,1.1786,NA,NA,25200168,NA,281474853,NA,50175599,NA,2401525,NA,238829128,NA,29226868,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"VP","PT",570,NA,3.7924,NA,0.6457,NA,47.8483,NA,8.1469,NA,5.8732,NA,0.1906,NA,NA,2908628,NA,4504483,NA,766954,NA,94141,NA,23629031,NA,3492035,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"VP","DO",562,NA,3.374,NA,1.1169,NA,25.4301,NA,8.4182,NA,3.0209,NA,0.0972,NA,NA,3746358,NA,3354280,NA,1110373,NA,131902,NA,34502571,NA,4926881,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"LR","DO",54,NA,0.2796,NA,0.0669,NA,264.1409,NA,63.2395,NA,4.1768,NA,1.4784,NA,NA,5307172,NA,79277412,NA,18980255,NA,300133,NA,53624968,NA,3535806,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"DR","PT",327,NA,0.9919,NA,0.0337,NA,47.6641,NA,1.6195,NA,29.4318,NA,2.7482,NA,NA,1760157,NA,52225720,NA,1774466,NA,1095704,NA,19003294,NA,17168294,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"CB","DO",248,NA,2.7616,NA,0.3268,NA,188.7189,NA,22.3343,NA,8.4497,NA,0.4426,NA,NA,16741957,NA,51225658,NA,6062400,NA,271439,NA,115745334,NA,6771331,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"DT","PT",135,NA,1.2485,NA,0.0855,NA,49.6038,NA,3.3961,NA,14.6062,NA,1.3868,NA,NA,310508,NA,3632683,NA,248709,NA,73234,NA,2619565,NA,2188481,NA,"No",NA,NA,NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2659,"MB","PT",101,NA,0.4989,NA,0.0931,NA,103.568,NA,19.337,NA,5.3559,NA,1.2258,NA,NA,4679220,NA,50235648,NA,9379412,NA,485050,NA,40980999,NA,5850057,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"FB","PT",9,NA,7.3519,NA,0.822,NA,589.3985,NA,65.903,NA,8.9434,NA,1.1171,NA,NA,11007657,NA,13390544,NA,1497251,NA,22719,NA,11986627,NA,227678,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"MB","PT",8,NA,0.2122,NA,0.0632,NA,86.8401,NA,25.8752,NA,3.3561,NA,1.5313,NA,NA,187120,NA,2959597,NA,881853,NA,34081,NA,1932775,NA,400947,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"MB","DO",775,NA,0.9476,NA,0.2344,NA,174.1737,NA,43.0804,NA,4.043,NA,1.5627,NA,NA,96475093,NA,411614672,NA,101809480,NA,2363242,NA,263405058,NA,21180599,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"DR","PT",653,NA,2.9339,NA,0.0506,NA,78.8185,NA,1.3591,NA,57.9935,NA,7.2978,NA,NA,5737517,NA,113410825,NA,1955578,NA,1438886,NA,15540423,NA,16315237,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"CR","PT",436,NA,6.9722,NA,0.616,NA,449.4253,NA,39.7086,NA,11.3181,NA,0.5462,NA,NA,229103721,NA,371909742,NA,32859741,NA,827523,NA,680949680,NA,24565346,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"RB","DO",34,NA,1.0048,NA,0.3007,NA,278.7902,NA,83.438,NA,3.3413,NA,1.7638,NA,NA,10590933,NA,35219290,NA,10540640,NA,126329,NA,19967570,NA,1032038,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"HR","DO",336,NA,1.3661,NA,0.7406,NA,192.8113,NA,104.5211,NA,1.8447,NA,0.5232,NA,NA,223384553,NA,301638488,NA,163515168,NA,1564423,NA,576500980,NA,23313396,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"TB","DO",21,NA,0.7347,NA,0.0599,NA,487.0887,NA,39.6907,NA,12.2721,NA,5.2778,NA,NA,1888300,NA,31542892,NA,2570292,NA,64758,NA,5976543,NA,549870,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2423,"LR","DO",151,NA,1.4331,NA,0.3808,NA,302.6182,NA,80.4055,NA,3.7637,NA,1.5075,NA,NA,81353000,NA,213658148,NA,56768835,NA,706032,NA,141734607,NA,5986849,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"MB","PT",6,NA,1.3916,NA,0.103,NA,111.3724,NA,8.2423,NA,13.5123,NA,2.4286,NA,NA,112328,NA,1090670,NA,80717,NA,9793,NA,449102,NA,165337,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"DR","PT",409,NA,3.8626,NA,0.1009,NA,58.6116,NA,1.5306,NA,38.2942,NA,5.3541,NA,NA,6004836,NA,59532018,NA,1554597,NA,1015704,NA,11118969,NA,10478405,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"CR","DO",349,NA,4.4877,NA,0.4766,NA,295.3105,NA,31.3595,NA,9.4169,NA,0.6959,NA,NA,144711466,NA,303658609,NA,32245981,NA,1028269,NA,436335049,NA,20153941,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"TB","DO",30,NA,1.1703,NA,0.4142,NA,162.6616,NA,57.5763,NA,2.8251,NA,1.3934,NA,NA,5951062,NA,14365949,NA,5085024,NA,88318,NA,10309799,NA,741986,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"HR","DO",285,NA,1.2025,NA,0.5633,NA,216.474,NA,101.4064,NA,2.1347,NA,0.5584,NA,NA,113037368,NA,200674425,NA,94005114,NA,927014,NA,359405111,NA,16971260,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"SR","DO",121,NA,1.1634,NA,0.393,NA,209.8999,NA,70.9043,NA,2.9603,NA,1.2824,NA,NA,29083693,NA,74007135,NA,24999649,NA,352583,NA,57709428,NA,3096378,NA,"No",NA,NA,NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2372,"MB","DO",1172,NA,1.0663,NA,0.2734,NA,155.1029,NA,39.7644,NA,3.9005,NA,1.3835,NA,NA,172156198,NA,629760584,NA,161454460,NA,4060275,NA,455192052,NA,40164866,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"MB","DO",638,NA,0.7749,NA,0.1621,NA,162.9976,NA,34.0903,NA,4.7813,NA,1.2748,NA,NA,49439100,NA,305037900,NA,63797467,NA,1871426,NA,239277791,NA,20816666,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"HR","DO",54,NA,1.2912,NA,0.1804,NA,344.3659,NA,48.1055,NA,7.1586,NA,1.735,NA,NA,11513200,NA,63832691,NA,8916972,NA,185363,NA,36790501,NA,4633205,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"DR","PT",466,NA,1.497,NA,0.0328,NA,67.2848,NA,1.4745,NA,45.6336,NA,4.833,NA,NA,3183387,NA,97039187,NA,2126485,NA,1442215,NA,20078289,NA,17943666,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"DT","PT",38,NA,2.5692,NA,0.1076,NA,104.2597,NA,4.3666,NA,23.8765,NA,4.6562,NA,NA,2087206,NA,19396997,NA,812390,NA,186045,NA,4165815,NA,3229314,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"LR","DO",38,NA,0.9677,NA,0.1633,NA,290.5222,NA,49.025,NA,5.926,NA,0.9815,NA,NA,7177100,NA,43950196,NA,7416504,NA,151280,NA,44778153,NA,2988892,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"CB","PT",280,NA,5.2591,NA,0.3096,NA,268.3364,NA,15.7976,NA,16.9859,NA,0.5913,"Q",NA,20089000,NA,64882934,NA,3819821,NA,241797,NA,109737234,"Q",6515171,NA,"Yes",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"CR","PT",159,NA,5.6273,NA,0.3259,NA,941.7346,NA,54.5474,NA,17.2645,NA,0.5845,NA,NA,52484000,NA,161020606,NA,9326683,NA,170983,NA,275491545,NA,6508708,NA,"No",NA,NA,NA,NA,NA,NA
"Maryland Transit Administration","Baltimore","MD","3034","30034","State Government Unit or Department of Transportation","Full Reporter",2203663,1683,"DR","DO",10,NA,1.0526,NA,0.0153,NA,97.7374,NA,1.4167,NA,68.9882,NA,9.4589,NA,NA,16278,NA,1066902,NA,15465,NA,10916,NA,112793,NA,61798,NA,"No",NA,NA,NA,NA,NA,NA
"Pace - Suburban Bus Division","Arlington Heights","IL","5113","50113","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,1510,"MB","PT",83,NA,1.196,NA,0.1418,NA,107.85,NA,12.7835,NA,8.4367,NA,1.7154,NA,NA,1952696,NA,13774167,NA,1632656,NA,127716,NA,8029586,NA,1617218,NA,"No",NA,NA,NA,NA,NA,NA
"Pace - Suburban Bus Division","Arlington Heights","IL","5113","50113","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,1510,"DR","DO",8,NA,1.5832,NA,0.0798,NA,52.0328,NA,2.6226,NA,19.8401,NA,3.1285,NA,NA,68917,NA,863641,NA,43530,NA,16598,NA,276053,NA,187551,NA,"No",NA,NA,NA,NA,NA,NA
